0,1,2,3
6878,9483724,14,"1,320 sqft"
6879,9483724,7,Commercial (1)
8550,9513514,3,Commercial only
8551,9513514,5,"To be built, New"
8552,9513514,14,1 sqft
8553,9513514,7,Commercial (1)
6367,9542091,3,Commercial only
6368,9542091,5,"Under construction, New"
6369,9542091,14,"6,000 sqft"
6370,9542091,12,"6,000 sqft"
6371,9542091,7,Commercial (1)
9496,9545504,3,Commercial only
9497,9545504,5,"1896, Century"
9498,9545504,14,"2,785 sqft"
9499,9545504,12,"17,965 sqft"
9500,9545504,1,"7,521 sqft"
9501,9545504,7,Commercial (1)
9502,9548981,3,Industrial only
9503,9548981,14,"7,067 sqft"
9504,9548981,7,Industrial (1)
7150,9549566,3,Commercial and office space
7151,9549566,14,"7,249 sqft"
7152,9549566,7,Commercial (1)
8580,9569407,3,Commercial and office space
8581,9569407,14,"3,000 sqft"
8582,9569407,7,Commercial (1)
582,9574164,3,Commercial and residential
583,9574164,5,1970
584,9574164,14,"From 548 sqft to 3,514 sqft"
585,9574164,12,"3,484 sqft"
586,9574164,1,"10,000 sqft"
587,9574164,7,Commercial (5)
4103,9575766,3,Commercial and office space
4104,9575766,14,"1,580 sqft"
4105,9575766,7,Office (1)
4106,9575766,15,"Auto parts, Beauty salon, Church, Daycare centre, Fitness centre, Hairdresser, Health centre, Jewellery store, Photo studio, Travel agency, School"
6972,9585340,3,Commercial only
6973,9585340,5,1929
6974,9585340,14,"1,330 sqft"
6975,9585340,12,"1,518 sqft"
6976,9585340,7,Commercial (1)
7136,9611398,3,Commercial and office space
7137,9611398,5,"Under construction, New"
7138,9611398,14,"4,300 sqft"
7139,9611398,7,Office (1)
7140,9611398,15,Other
6522,9632162,3,Commercial only
6523,9632162,5,1942
6524,9632162,14,"1,241 sqft"
6525,9632162,7,Commercial (1)
6526,9632162,15,Restaurant
1036,9632586,3,Commercial and industrial
1037,9632586,5,"2016, New"
1038,9632586,14,"1,500 sqft"
1039,9632586,12,"1,500 sqft"
1040,9632586,7,Commercial (1)
9223,9639725,3,Offices only
9224,9639725,5,1948
9225,9639725,14,"1,300 sqft"
9226,9639725,12,"1,300 sqft"
9227,9639725,7,Office (1)
2276,9641554,3,Offices only
2277,9641554,5,2017
2278,9641554,14,242 sqft
2279,9641554,7,Commercial (1)
3237,9647579,3,Commercial and office space
3238,9647579,5,"Under construction, New"
3239,9647579,14,"From 10,000 sqft to 20,000 sqft"
3240,9647579,7,"Commercial (1), Office (1)"
3241,9647579,15,"Pet shop, Butcher shop, Boutique, Bakery, Deli/Cheese shop, Florist, Grocery store, Fruits and vegetables, Pharmacy, Restaurant, Beauty salon"
9389,9651377,3,Commercial only
9390,9651377,5,2006
9391,9651377,14,"1,105 sqft"
9392,9651377,7,Commercial (1)
2191,9653424,3,Industrial and offices
2192,9653424,5,Unknown age
2193,9653424,14,"16,628 sqft"
2194,9653424,7,Warehouse (1)
5852,9657478,3,Offices only
5853,9657478,5,2017
5854,9657478,14,104 sqft
5855,9657478,7,Office (1)
8711,9658785,3,Industrial only
8712,9658785,5,1957
8713,9658785,14,"13,300 sqft"
8714,9658785,1,"24,927 sqft"
8715,9658785,7,Industrial (1)
4248,9661896,3,Commercial and office space
4249,9661896,5,2017
4250,9661896,14,"1,186 sqft"
4251,9661896,7,Commercial (1)
6872,9665120,3,Offices only
6873,9665120,14,124 sqft
6874,9665120,12,124 sqft
6875,9665120,7,Office (1)
10216,9669047,3,Commercial only
10217,9669047,5,Unknown age
10218,9669047,14,"2,700 sqft"
10219,9669047,7,Commercial (1)
1337,9672718,3,Offices only
1338,9672718,14,"4,640 sqft"
1339,9672718,7,Office (1)
8642,9676350,3,Commercial and office space
8643,9676350,5,"To be built, New"
8644,9676350,14,"12,000 sqft"
8645,9676350,12,"12,000 sqft"
8646,9676350,7,Commercial (1)
8647,9676350,15,"Shopping centre, Other"
2694,9696387,3,Offices only
2695,9696387,5,1853
2696,9696387,14,181 sqft
2697,9696387,7,Office (1)
2206,9699556,3,Industrial and offices
2207,9699556,5,2014
2208,9699556,14,"7,200 sqft"
2209,9699556,7,Industrial (1)
2210,9699556,15,Other
353,9730837,3,Commercial and office space
354,9730837,5,1987
355,9730837,14,533 sqft
356,9730837,7,Office (1)
897,9747965,3,Commercial only
898,9747965,5,2008
899,9747965,14,"From 325 sqft to 3,078 sqft"
900,9747965,7,Commercial (4)
8428,9748340,3,Commercial only
8429,9748340,14,169 sqft
8430,9748340,7,Commercial (1)
8431,9748340,15,Beauty salon
9105,9781790,3,Commercial and office space
9106,9781790,5,1926
9107,9781790,14,"2,000 sqft"
9108,9781790,7,Commercial (1)
6933,9784265,3,Commercial and office space
6934,9784265,5,1870
6935,9784265,14,"3,182 sqft"
6936,9784265,7,Commercial (1)
6937,9784265,15,"Bar,Restaurant, Spectacle,Grocery store, offices"
6429,9786265,3,Offices only
6430,9786265,14,"3,000 sqft"
6431,9786265,7,Office (1)
2046,9788349,3,Commercial and office space
2047,9788349,5,1902
2048,9788349,14,"1,606 sqft"
2049,9788349,7,Commercial (1)
7232,9822245,3,Offices only
7233,9822245,5,1977
7234,9822245,14,"From 1,250 sqft to 3,870 sqft"
7235,9822245,12,"43,000 sqft"
7236,9822245,1,"33,637 sqft"
7237,9822245,7,Office (2)
8202,9826845,3,Commercial only
8203,9826845,5,"1850, Century"
8204,9826845,14,"1,300 sqft"
8205,9826845,1,"1,903 sqft"
8206,9826845,7,Commercial (1)
2354,9831824,3,Commercial and office space
2355,9831824,5,2007
2356,9831824,14,"1,280 sqft"
2357,9831824,12,960 sqft
2358,9831824,7,Commercial (1)
5948,9836675,3,Commercial and office space
5949,9836675,5,"1954, Being converted"
5950,9836675,14,"2,146 sqft"
5951,9836675,12,"2,146 sqft"
5952,9836675,1,"2,266 sqft"
5953,9836675,7,Commercial (1)
5954,9836675,15,Subject to approval of Owner
3820,9839113,3,Commercial and office space
3821,9839113,14,721 sqft
3822,9839113,7,Commercial (1)
9688,9853441,3,Commercial only
9689,9853441,14,188 sqft
9690,9853441,7,Office (1)
9691,9853441,15,offices
9029,9855150,3,Commercial and office space
9030,9855150,14,"1,294 sqft"
9031,9855150,7,Office (1)
5589,9858703,3,Commercial and office space
5590,9858703,14,"2,000 sqft"
5591,9858703,7,Office (1)
9803,9869369,3,Commercial only
9804,9869369,5,1972
9805,9869369,14,"2,728 sqft"
9806,9869369,1,"17,120 sqft"
9807,9869369,7,Commercial (1)
1530,9872588,3,Commercial and office space
1531,9872588,12,675 sqft
5724,9874279,3,Offices only
5725,9874279,14,150 sqft
5726,9874279,12,150 sqft
5727,9874279,7,Office (1)
7991,9874422,3,Commercial only
7992,9874422,14,"3,000 sqft"
7993,9874422,12,"3,000 sqft"
7994,9874422,7,Commercial (1)
2970,9883834,3,Offices only
2971,9883834,5,1952
2972,9883834,14,195 sqft
2973,9883834,12,"1,204 sqft"
2974,9883834,1,"13,093 sqft"
2975,9883834,7,Office (1)
5629,9893303,3,Commercial and office space
5630,9893303,5,"To be built, New"
5631,9893303,14,"8,500 sqft"
5632,9893303,12,"17,000 sqft"
5633,9893303,7,Commercial (1)
674,9894460,3,Commercial and office space
675,9894460,5,"To be built, New"
676,9894460,14,"From 1,500 sqft to 5,100 sqft"
677,9894460,12,"7,760 sqft"
678,9894460,1,"13,258 sqft"
679,9894460,7,Commercial (2)
680,9894460,15,offices spaces
9850,9917476,3,Commercial only
9851,9917476,14,850 sqft
9852,9917476,7,Commercial (1)
785,9934924,3,Commercial and office space
786,9934924,14,"1,917 sqft"
787,9934924,7,Commercial (1)
6419,9947313,3,Commercial only
6420,9947313,5,Unknown age
6421,9947313,14,310 sqft
6422,9947313,7,Commercial (1)
6423,9947313,15,Other
7108,9961567,3,Commercial and office space
7109,9961567,14,"From 1,135 sqft to 13,645 sqft"
7110,9961567,7,Commercial (4)
1331,9961790,3,Commercial and office space
1332,9961790,5,1982
1333,9961790,12,"1,425 sqft"
10238,9984451,3,Industrial and offices
10239,9984451,14,"4,000 sqft"
10240,9984451,12,"9,000 sqft"
10241,9984451,7,Warehouse (1)
8199,9989078,3,Industrial only
8200,9989078,14,"17,291 sqft"
8201,9989078,7,Industrial (1)
4097,9994010,3,Commercial only
4098,9994010,14,"1,100 sqft"
4099,9994010,7,Commercial (1)
7914,10002162,3,Offices only
7915,10002162,14,"15,412 sqft"
7916,10002162,7,Office (1)
7917,10002162,15,Other
9326,10011279,3,Commercial and office space
9327,10011279,14,"1,840 sqft"
9328,10011279,7,Office (1)
9329,10011279,15,Other
8115,10015489,3,Commercial and industrial
8116,10015489,5,"To be built, New"
8117,10015489,14,"3,600 sqft"
8118,10015489,12,"3,600 sqft"
8119,10015489,7,Commercial (1)
7894,10033118,3,Offices only
7895,10033118,5,1976
7896,10033118,14,"3,520 sqft"
7897,10033118,12,"3,520 sqft"
7898,10033118,1,"12,748 sqft"
7899,10033118,7,Office (1)
5121,10034863,3,Commercial and industrial
5122,10034863,5,Unknown age
5123,10034863,14,"5,500 sqft"
5124,10034863,7,Commercial (1)
1931,10044393,3,Commercial and office space
1932,10044393,14,950 sqft
1933,10044393,7,Commercial (1)
1340,10049963,3,Commercial and office space
1341,10049963,5,1968
1342,10049963,14,"From 100 sqft to 3,000 sqft"
1343,10049963,12,"1,500 sqft"
1344,10049963,1,"3,279 sqft"
1345,10049963,7,Commercial (2)
6605,10075310,3,Commercial only
6606,10075310,5,1950
6607,10075310,14,"1,588 sqft"
6608,10075310,12,"1,588 sqft"
6609,10075310,1,"9,976 sqft"
6610,10075310,7,Commercial (1)
5731,10095724,3,Commercial and office space
5732,10095724,5,2017
5733,10095724,14,"1,485 sqft"
5734,10095724,7,Commercial (1)
2490,10097134,3,Commercial and office space
2491,10097134,5,1964
2492,10097134,14,900 sqft
2493,10097134,7,Office (1)
2888,10104682,3,Commercial and office space
2889,10104682,12,"1,770 sqft"
2907,10118017,3,Offices only
2908,10118017,14,"From 1,137 sqft to 2,677 sqft"
2909,10118017,7,Office (2)
8554,10122419,3,Commercial only
8555,10122419,14,"5,200 sqft"
8556,10122419,7,Commercial (1)
3373,10124008,3,Commercial and office space
3374,10124008,5,1982
3375,10124008,12,"1,140 sqft"
9216,10125036,3,Commercial only
9217,10125036,5,Unknown age
9218,10125036,14,"1,000 sqft"
9219,10125036,7,Commercial (1)
5648,10126300,3,Commercial and office space
5649,10126300,5,2011
5650,10126300,14,"2,000 sqft"
5651,10126300,12,"2,000 sqft"
5652,10126300,1,"76,677 sqft"
5653,10126300,7,Commercial (1)
1000,10130559,3,Industrial only
1001,10130559,5,1964
1002,10130559,14,"25,000 sqft"
1003,10130559,12,"360,000 sqft"
1004,10130559,1,"1,047,108 sqft"
1005,10130559,7,Industrial (1)
4376,10133953,3,Commercial and office space
4377,10133953,5,1973
4378,10133953,14,"3,625 sqft"
4379,10133953,7,Commercial (1)
5165,10134307,3,Offices only
5166,10134307,5,1979
5167,10134307,14,"1,050 sqft"
5168,10134307,7,Office (1)
9616,10152748,3,Commercial only
9617,10152748,5,1929
9618,10152748,14,300 sqft
9619,10152748,7,Commercial (1)
9620,10152748,15,Other
3702,10155054,3,Offices only
3703,10155054,5,2017
3704,10155054,14,142 sqft
3705,10155054,7,Office (1)
7566,10165143,3,Commercial and industrial
7567,10165143,14,"1,600 sqft"
7568,10165143,7,Industrial (1)
6301,10178682,3,Commercial only
6302,10178682,5,1962
6303,10178682,14,"25,467 sqft"
6304,10178682,12,"2,448 sqft"
6305,10178682,1,"25,467 sqft"
6306,10178682,7,Commercial (1)
6307,10178682,15,Garage
8347,10180168,3,Commercial only
8348,10180168,5,1980
8349,10180168,14,"2,400 sqft"
8350,10180168,12,"2,400 sqft"
8351,10180168,1,"16,020 sqft"
8352,10180168,7,Commercial (1)
5413,10196049,3,Commercial and office space
5414,10196049,5,"2013, New"
5415,10196049,14,"1,500 sqft"
5416,10196049,12,"1,500 sqft"
5417,10196049,1,"43,475 sqft"
5418,10196049,7,Office (1)
3470,10198762,3,Commercial only
3471,10198762,14,"1,375 sqft"
3472,10198762,7,Commercial (1)
3473,10198762,15,Other
1165,10211426,3,Offices only
1166,10211426,14,840 sqft
1167,10211426,7,Office (1)
6989,10212571,3,Commercial only
6990,10212571,14,"1,000 sqft"
6991,10212571,7,Commercial (1)
10176,10228021,3,Commercial and office space
10177,10228021,5,1929
10178,10228021,14,"1,400 sqft"
10179,10228021,7,Commercial (1)
6317,10256780,3,Commercial and office space
6318,10256780,5,Unknown age
6319,10256780,12,"1,515 sqft"
10193,10265333,3,Commercial only
10194,10265333,14,From 143 sqft to 673 sqft
10195,10265333,7,Office (3)
1216,10273596,3,Commercial and office space
1217,10273596,14,875 sqft
1218,10273596,7,Commercial (1)
8676,10275147,3,Industrial only
8677,10275147,5,"2017, New"
8678,10275147,14,"6,006 sqft"
8679,10275147,12,"6,006 sqft"
8680,10275147,7,Industrial (1)
3088,10284827,3,Commercial and industrial
3089,10284827,5,"2012, New"
3090,10284827,14,"5,000 sqft"
3091,10284827,12,"5,000 sqft"
3092,10284827,7,Industrial (1)
3093,10284827,15,Other
8421,10292577,3,Commercial and office space
8422,10292577,5,"To be built, New"
8423,10292577,14,"From 7,000 sqft to 14,000 sqft"
8424,10292577,7,"Commercial (1), Office (1)"
3538,10296018,3,Commercial and office space
3539,10296018,14,700 sqft
3540,10296018,12,700 sqft
3541,10296018,7,Commercial (1)
3768,10297794,3,Commercial only
3769,10297794,5,1996
3770,10297794,14,"7,000 sqft"
3771,10297794,12,"7,000 sqft"
3772,10297794,7,Commercial (1)
8225,10306420,3,Commercial and office space
8226,10306420,5,1964
8227,10306420,14,185 sqft
8228,10306420,7,Commercial (1)
4079,10308523,3,Commercial only
4080,10308523,5,1910
4081,10308523,14,"5,280 sqft"
4082,10308523,7,Commercial (1)
4083,10308523,15,Department store
4465,10313229,3,Offices only
4466,10313229,5,Unknown age
4467,10313229,14,"2,020 sqft"
4468,10313229,12,"2,020 sqft"
4469,10313229,7,Office (1)
7666,10315935,3,Commercial and residential
7667,10315935,14,"3,800 sqft"
7668,10315935,7,Commercial (1)
7822,10332757,3,Commercial and office space
7823,10332757,14,"9,650 sqft"
7824,10332757,7,Office (1)
3199,10339180,3,Offices only
3200,10339180,5,1907
3201,10339180,14,"1,988 sqft"
3202,10339180,7,Office (1)
1012,10361134,3,Commercial and office space
1013,10361134,5,2012
1014,10361134,14,"From 717 sqft to 2,443 sqft"
1015,10361134,12,717 sqft
1016,10361134,7,Commercial (2)
5967,10375814,3,Commercial and residential
5968,10375814,14,"2,500 sqft"
5969,10375814,7,Commercial (1)
6023,10390666,3,Commercial only
6024,10390666,5,1910
6025,10390666,14,"2,800 sqft"
6026,10390666,7,Commercial (1)
8220,10400810,3,Commercial and industrial
8221,10400810,5,"To be built, New"
8222,10400810,14,"1,610 sqft"
8223,10400810,7,Industrial (1)
8224,10400810,15,Other
2084,10402940,3,Offices only
2085,10402940,14,"2,200 sqft"
2086,10402940,7,Office (1)
8793,10421240,3,Industrial and offices
8794,10421240,5,2003
8795,10421240,14,"3,660 sqft"
8796,10421240,7,Industrial (1)
8914,10426169,3,Commercial only
8915,10426169,14,592 sqft
8916,10426169,7,Office (1)
9146,10443952,3,Commercial only
9147,10443952,14,"10,100 sqft"
9148,10443952,7,Commercial (1)
7095,10447766,3,Commercial and office space
7096,10447766,5,1926
7097,10447766,14,"1,700 sqft"
7098,10447766,12,"1,700 sqft"
7099,10447766,7,Commercial (1)
2966,10452338,3,Commercial and office space
2967,10452338,5,1971
2968,10452338,14,"3,200 sqft"
2969,10452338,7,Commercial (1)
3111,10460547,3,Commercial and office space
3112,10460547,14,155 sqft
3113,10460547,12,"34,337 sqft"
3114,10460547,7,Office (1)
4277,10465334,3,Commercial and office space
4278,10465334,14,157 sqft
4279,10465334,7,Office (1)
7736,10466161,3,Commercial and office space
7737,10466161,14,"1,000 sqft"
7738,10466161,7,Commercial (1)
2195,10468534,3,Commercial and office space
2196,10468534,14,"1,312 sqft"
2197,10468534,7,Commercial (1)
8758,10483482,3,Commercial only
8759,10483482,5,"Under construction, New"
8760,10483482,14,"2,000 sqft"
8761,10483482,7,Commercial (1)
8762,10483482,15,Restaurant
4976,10484828,3,Commercial and office space
4977,10484828,5,1952
4978,10484828,14,448 sqft
4979,10484828,7,Office (1)
6267,10485952,3,Industrial only
6268,10485952,5,"To be built, New"
6269,10485952,14,"From 2,956 sqft to 14,877 sqft"
6270,10485952,12,"10,377 sqft"
6271,10485952,1,"60,242 sqft"
6272,10485952,7,Industrial (5)
7771,10488390,3,Commercial and office space
7772,10488390,14,660 sqft
7773,10488390,12,660 sqft
7774,10488390,7,Commercial (1)
7011,10508274,3,Commercial and industrial
7012,10508274,14,"7,345 sqft"
7013,10508274,7,Industrial (1)
7014,10508274,15,Cabinet making
9955,10508908,3,Commercial and industrial
9956,10508908,14,"4,000 sqft"
9957,10508908,7,Office (1)
104,10516101,3,Offices only
105,10516101,5,2013
106,10516101,14,"1,003 sqft"
107,10516101,7,Office (1)
10399,10517484,1,"116,725 sqft"
10400,10517484,1,Residential
9787,10529258,3,Commercial and office space
9788,10529258,5,1963
9789,10529258,14,"1,200 sqft"
9790,10529258,7,Commercial (1)
2941,10533336,3,Commercial and office space
2942,10533336,14,"10,005 sqft"
2943,10533336,7,Office (1)
4262,10558363,3,Industrial and offices
4263,10558363,5,2010
4264,10558363,14,"4,392 sqft"
4265,10558363,12,"4,392 sqft"
4266,10558363,7,Industrial (1)
3058,10559549,3,Commercial and office space
3059,10559549,5,1952
3060,10559549,14,"1,863 sqft"
3061,10559549,12,"2,979 sqft"
3062,10559549,1,"12,543 sqft"
3063,10559549,7,Commercial (1)
4956,10578526,3,Commercial and residential
4957,10578526,5,1865
4958,10578526,14,864 sqft
4959,10578526,1,"4,205 sqft"
4960,10578526,7,"Residential (1), Commercial (1)"
9334,10580674,3,Offices only
9335,10580674,14,"1,600 sqft"
9336,10580674,7,Office (1)
4050,10609469,3,Commercial only
4051,10609469,14,"2,500 sqft"
4052,10609469,7,Commercial (1)
2332,10617776,3,Commercial and office space
2333,10617776,5,2002
2334,10617776,14,"24,000 sqft"
2335,10617776,1,"18,457 sqft"
2336,10617776,7,Commercial (1)
6651,10619022,3,Commercial and office space
6652,10619022,14,"3,850 sqft"
6653,10619022,7,Commercial (1)
2985,10623599,3,Offices only
2986,10623599,14,"2,198 sqft"
2987,10623599,7,Office (1)
2202,10626803,3,Commercial and office space
2203,10626803,5,1997
2204,10626803,14,"5,641 sqft"
2205,10626803,7,Commercial (1)
9893,10640282,3,Commercial only
9894,10640282,14,"2,340 sqft"
9895,10640282,1,"2,850 sqft"
9896,10640282,7,Commercial (1)
4223,10650508,3,Commercial and office space
4224,10650508,5,2010
4225,10650508,14,"3,500 sqft"
4226,10650508,12,"5,500 sqft"
4227,10650508,7,Commercial (1)
6032,10656164,3,Commercial and industrial
6033,10656164,5,1970
6034,10656164,14,"4,778 sqft"
6035,10656164,12,"4,778 sqft"
6036,10656164,7,Commercial (1)
7616,10659727,3,Industrial and offices
7617,10659727,5,"2014, New"
