0,1,2,3
876,14624609,7,Commercial (3)
1948,14626873,3,Commercial only
1949,14626873,5,1980
1950,14626873,14,"1,180 sqft"
1951,14626873,7,Commercial (1)
3583,14631705,3,Industrial and offices
3584,14631705,5,1978
3585,14631705,14,"From 1,196 sqft to 2,499 sqft"
3586,14631705,7,"Industrial (1), Office (1)"
10116,14635767,3,Commercial and office space
10117,14635767,5,1929
10118,14635767,14,"4,000 sqft"
10119,14635767,7,Commercial (1)
1496,14636400,3,Commercial and office space
1497,14636400,14,"1,303 sqft"
1498,14636400,7,Commercial (1)
1499,14636400,15,Restaurant
1768,14642326,3,Commercial and office space
1769,14642326,5,1978
1770,14642326,14,"2,564 sqft"
1771,14642326,1,"8,887 sqft"
1772,14642326,7,Commercial (1)
2563,14655140,3,Offices only
2564,14655140,5,1971
2565,14655140,14,"2,387 sqft"
2566,14655140,12,"2,387 sqft"
2567,14655140,7,Office (1)
4257,14669684,3,Commercial only
4258,14669684,5,Unknown age
4259,14669684,14,"2,000 sqft"
4260,14669684,7,Commercial (1)
4261,14669684,15,Bar
2480,14670279,3,Commercial and industrial
2481,14670279,14,"2,900 sqft"
2482,14670279,7,Commercial (1)
5658,14675309,3,Commercial only
5659,14675309,5,1928
5660,14675309,14,"11,470 sqft"
5661,14675309,12,"6,884 sqft"
5662,14675309,1,"16,690 sqft"
5663,14675309,7,Commercial (1)
10231,14680132,3,Commercial only
10232,14680132,5,1962
10233,14680132,14,834 sqft
10234,14680132,7,Commercial (1)
4672,14688463,3,Offices only
4673,14688463,14,129 sqft
4674,14688463,7,Office (1)
1603,14698026,3,Offices only
1604,14698026,14,"1,888 sqft"
1605,14698026,7,Office (1)
1606,14698026,15,Other
5498,14701719,3,Commercial and office space
5499,14701719,5,1967
5500,14701719,14,"2,807 sqft"
5501,14701719,7,Office (1)
6157,14717180,3,Commercial and industrial
6158,14717180,14,"1,920 sqft"
6159,14717180,7,Industrial (1)
8844,14721975,3,Commercial and residential
8845,14721975,5,1970
8846,14721975,14,"From 1,575 sqft to 13,171 sqft"
8847,14721975,12,"28,346 sqft"
8848,14721975,1,"22,900 sqft"
8849,14721975,7,Office (5)
4437,14733175,3,Industrial and offices
4438,14733175,14,"7,231 sqft"
4439,14733175,7,Industrial (1)
4440,14733175,15,Other
8615,14734528,3,Commercial and office space
8616,14734528,5,1987
8617,14734528,14,"10,264 sqft"
8618,14734528,12,"10,264 sqft"
8619,14734528,1,"21,813 sqft"
8620,14734528,7,Commercial (1)
5941,14744140,3,Offices only
5942,14744140,14,"1,606 sqft"
5943,14744140,7,Office (1)
5944,14744140,15,Office
6071,14749007,3,Commercial and office space
6072,14749007,5,1960
6073,14749007,14,"2,050 sqft"
6074,14749007,1,"37,220 sqft"
6075,14749007,7,Commercial (1)
8406,14754476,3,Commercial and residential
8407,14754476,14,"1,200 sqft"
8408,14754476,7,Commercial (1)
1755,14759200,3,Commercial and industrial
1756,14759200,5,2010
1757,14759200,14,"2,280 sqft"
1758,14759200,12,"3,813 sqft"
1759,14759200,1,"51,481 sqft"
1760,14759200,7,Commercial (1)
1761,14759200,15,Other
2910,14761429,3,Commercial only
2911,14761429,5,1974
2912,14761429,14,760 sqft
2913,14761429,7,Commercial (1)
4133,14797160,3,Commercial only
4134,14797160,14,"2,035 sqft"
4135,14797160,7,Commercial (1)
9812,14809845,3,Offices only
9813,14809845,14,"2,104 sqft"
9814,14809845,7,Office (1)
2500,14812444,3,Commercial only
2501,14812444,14,"1,035 sqft"
2502,14812444,7,Commercial (1)
2503,14812444,15,Other
6920,14829803,3,Commercial and office space
6921,14829803,14,"6,591 sqft"
6922,14829803,12,"6,591 sqft"
6923,14829803,7,Office (1)
2607,14831745,3,Offices only
2608,14831745,5,Unknown age
2609,14831745,14,"3,614 sqft"
2610,14831745,7,Office (1)
5387,14833111,3,Commercial and industrial
5388,14833111,5,"2017, New"
5389,14833111,14,"1,564 sqft"
5390,14833111,7,Commercial (1)
5391,14833111,15,Other
8011,14843558,3,Commercial and office space
8012,14843558,14,700 sqft
8013,14843558,12,500 sqft
8014,14843558,7,Commercial (1)
9885,14846872,3,Commercial and industrial
9886,14846872,14,825 sqft
9887,14846872,7,Commercial (1)
4725,14870818,3,Commercial only
4726,14870818,5,1990
4727,14870818,14,"11,575 sqft"
4728,14870818,12,"11,575 sqft"
4729,14870818,1,"44,913 sqft"
4730,14870818,7,Commercial (1)
782,14876042,3,Commercial and office space
783,14876042,14,100 sqft
784,14876042,7,Office (1)
7411,14876298,3,Offices only
7412,14876298,14,909 sqft
7413,14876298,7,Commercial (1)
1565,14876330,3,Commercial only
1566,14876330,5,1969
1567,14876330,14,"5,236 sqft"
1568,14876330,12,"5,236 sqft"
1569,14876330,1,"14,807 sqft"
1570,14876330,7,Commercial (1)
1571,14876330,15,Other
2120,14886305,3,Commercial and office space
2121,14886305,5,2017
2122,14886305,14,"3,500 sqft"
2123,14886305,1,"10,000 sqft"
2124,14886305,7,Commercial (1)
2176,14890172,3,Commercial only
2177,14890172,5,1974
2178,14890172,14,"1,300 sqft"
2179,14890172,7,Commercial (1)
10367,14900522,1,"38,589 sqft"
10368,14900522,1,Residential
4271,14902605,3,Commercial only
4272,14902605,5,Unknown age
4273,14902605,14,"12,500 sqft"
4274,14902605,12,"8,500 sqft"
4275,14902605,1,"143,258 sqft"
4276,14902605,7,Industrial (1)
2445,14909890,3,Commercial only
2446,14909890,5,1920
2447,14909890,14,"3,000 sqft"
2448,14909890,7,Commercial (1)
2449,14909890,15,Restaurant
10326,14915278,1,"9,492 sqft"
10327,14915278,1,Residential
6579,14916454,3,Commercial and office space
6580,14916454,14,"5,000 sqft"
6581,14916454,7,Office (1)
3946,14927880,3,Commercial only
3947,14927880,14,"From 2,446 sqft to 11,722 sqft"
3948,14927880,7,Commercial (3)
3754,14934058,3,Commercial and office space
3755,14934058,5,Unknown age
3756,14934058,14,1 sqft
3757,14934058,7,Office (1)
7221,14937453,3,Commercial only
7222,14937453,14,"4,750 sqft"
7223,14937453,12,"2,000 sqft"
7224,14937453,7,Commercial (1)
10029,14942830,3,Commercial and office space
10030,14942830,14,"1,030 sqft"
10031,14942830,7,Office (1)
3478,14948561,3,Commercial only
3479,14948561,5,Unknown age
3480,14948561,14,884 sqft
3481,14948561,12,884 sqft
3482,14948561,1,"13,186 sqft"
3483,14948561,7,Commercial (1)
3484,14948561,15,Other
2794,14955034,3,Commercial only
2795,14955034,14,715 sqft
2796,14955034,7,Commercial (1)
3159,14955117,3,Commercial only
3160,14955117,5,"To be built, New"
3161,14955117,14,"3,875 sqft"
3162,14955117,7,Commercial (1)
3163,14955117,15,Restaurant
4004,14966811,3,Commercial and industrial
4005,14966811,5,Unknown age
4006,14966811,14,"From 1,539 sqft to 8,508 sqft"
4007,14966811,12,"6,452 sqft"
4008,14966811,1,"17,763 sqft"
4009,14966811,7,"Commercial (2), Industrial (1)"
9548,14971036,3,Commercial and office space
9549,14971036,14,"2,200 sqft"
9550,14971036,12,"2,200 sqft"
9551,14971036,7,Commercial (1)
5801,14980717,3,Commercial only
5802,14980717,14,"2,247 sqft"
5803,14980717,7,Commercial (1)
9479,14994425,3,Commercial and office space
9480,14994425,5,"Under construction, New"
9481,14994425,14,"4,500 sqft"
9482,14994425,7,Commercial (1)
6206,15011865,3,Commercial and office space
6207,15011865,14,"2,088 sqft"
6208,15011865,7,Office (1)
6209,15011865,15,Other
9862,15022153,3,Commercial and office space
9863,15022153,14,"2,000 sqft"
9864,15022153,12,"2,000 sqft"
9865,15022153,7,Commercial (1)
9866,15022153,15,Furniture repair
2198,15031494,3,Commercial only
2199,15031494,5,"To be built, New"
2200,15031494,14,"3,883 sqft"
2201,15031494,7,Commercial (1)
9274,15054076,3,Commercial only
9275,15054076,5,1993
9276,15054076,14,"5,600 sqft"
9277,15054076,12,"5,600 sqft"
9278,15054076,7,Commercial (1)
2396,15067981,3,Offices only
2397,15067981,14,160 sqft
2398,15067981,12,160 sqft
2399,15067981,7,Office (1)
2308,15075504,3,Commercial and office space
2309,15075504,5,1978
2310,15075504,14,"5,000 sqft"
2311,15075504,12,"5,000 sqft"
2312,15075504,7,Commercial (1)
2313,15075504,15,Other
9914,15077354,3,Offices only
9915,15077354,14,140 sqft
9916,15077354,12,140 sqft
9917,15077354,7,Office (1)
1219,15088575,3,Offices only
1220,15088575,14,"6,960 sqft"
1221,15088575,12,"6,960 sqft"
1222,15088575,7,Office (1)
10150,15094464,3,Commercial and office space
10151,15094464,14,"2,400 sqft"
10152,15094464,7,Commercial (1)
270,15100626,3,Offices only
271,15100626,14,"4,024 sqft"
272,15100626,7,Office (1)
273,15100626,15,Office
254,15103297,3,Commercial only
255,15103297,14,"1,500 sqft"
256,15103297,7,Commercial (1)
6093,15111227,3,Commercial and office space
6094,15111227,5,1965
6095,15111227,14,"1,300 sqft"
6096,15111227,7,Commercial (1)
6097,15111227,15,"Hairdresser, Hairdresser - Men's, Beauty salon"
5719,15114787,3,Commercial and industrial
5720,15114787,5,1970
5721,15114787,14,"5,534 sqft"
5722,15114787,12,"5,534 sqft"
5723,15114787,7,Commercial (1)
1212,15121975,3,Commercial and office space
1213,15121975,5,1973
1214,15121975,14,"3,700 sqft"
1215,15121975,7,Commercial (1)
6828,15137790,3,Commercial and office space
6829,15137790,5,"To be built, New"
6830,15137790,14,"1,630 sqft"
6831,15137790,7,Commercial (1)
5600,15143655,3,Commercial and office space
5601,15143655,5,Unknown age
5602,15143655,14,"5,075 sqft"
5603,15143655,7,Office (1)
9981,15163223,3,Commercial and office space
9982,15163223,14,"1,400 sqft"
9983,15163223,7,Commercial (1)
6692,15174191,3,Commercial only
6693,15174191,5,"1950, Being converted"
6694,15174191,14,"4,500 sqft"
6695,15174191,7,Commercial (1)
6696,15174191,15,Restaurant
6076,15174730,3,Commercial and office space
6077,15174730,14,"5,000 sqft"
6078,15174730,7,Commercial (1)
6079,15174730,15,Other
6863,15190608,3,Commercial and office space
6864,15190608,14,950 sqft
6865,15190608,7,Commercial (1)
9594,15197132,3,Commercial only
9595,15197132,14,600 sqft
9596,15197132,7,Commercial (1)
9597,15197132,15,Restaurant
7,15198474,3,Commercial only
8,15198474,5,2001
9,15198474,14,"7,774 sqft"
10,15198474,1,"156,096 sqft"
11,15198474,7,Commercial (1)
7191,15199002,3,Commercial and office space
7192,15199002,14,"5,837 sqft"
7193,15199002,7,Office (1)
7194,15199002,15,Other
7501,15212108,3,Commercial and office space
7502,15212108,5,1980
7503,15212108,14,802 sqft
7504,15212108,7,Commercial (1)
7505,15212108,15,Office or services
1072,15212933,3,Offices only
1073,15212933,14,800 sqft
1074,15212933,7,Office (1)
29,15213338,3,Commercial and industrial
30,15213338,14,"5,690 sqft"
31,15213338,7,Commercial (1)
6822,15213524,3,Offices only
6823,15213524,14,"5,000 sqft"
6824,15213524,7,Office (1)
5856,15218064,3,Commercial and office space
5857,15218064,14,"1,642 sqft"
5858,15218064,12,"1,642 sqft"
5859,15218064,7,Commercial (1)
5860,15218064,15,Other
5921,15229412,3,Commercial and office space
5922,15229412,5,1988
5923,15229412,14,"1,040 sqft"
5924,15229412,12,"1,040 sqft"
5925,15229412,1,"19,894 sqft"
5926,15229412,7,Commercial (1)
4999,15229741,3,Commercial and office space
5000,15229741,14,500 sqft
5001,15229741,7,Commercial (1)
2424,15233147,3,Commercial and office space
2425,15233147,14,"2,000 sqft"
2426,15233147,7,Commercial (1)
9541,15241322,3,Industrial and offices
9542,15241322,14,700 sqft
9543,15241322,7,Office (1)
7800,15256573,3,Commercial and office space
7801,15256573,14,"1,300 sqft"
7802,15256573,7,Commercial (1)
9167,15258604,3,Offices only
9168,15258604,5,1974
9169,15258604,14,"1,337 sqft"
9170,15258604,7,Office (1)
9880,15269014,3,Commercial only
9881,15269014,5,1930
9882,15269014,14,1 sqft
9883,15269014,1,"5,614 sqft"
9884,15269014,7,Commercial (1)
9101,15281982,3,Commercial only
9102,15281982,5,2005
9103,15281982,14,"2,894 sqft"
9104,15281982,7,Commercial (1)
1859,15282332,3,Commercial and office space
1860,15282332,5,Unknown age
1861,15282332,14,487 sqft
1862,15282332,7,Commercial (1)
745,15299371,3,Commercial only
746,15299371,5,1963
747,15299371,14,"4,300 sqft"
748,15299371,12,"4,300 sqft"
749,15299371,1,"31,900 sqft"
750,15299371,7,Commercial (1)
5619,15300222,3,Offices only
5620,15300222,5,1980
5621,15300222,14,"1,588 sqft"
5622,15300222,7,Office (1)
6773,15307925,3,Commercial and office space
6774,15307925,5,Unknown age
6775,15307925,14,"3,130 sqft"
6776,15307925,12,"3,100 sqft"
6777,15307925,7,Office (1)
6778,15307925,15,Accounting
6476,15325974,3,Commercial only
6477,15325974,14,"3,500 sqft"
6478,15325974,7,Commercial (1)
725,15326788,3,Commercial and office space
726,15326788,5,1960
727,15326788,14,"5,000 sqft"
728,15326788,7,Commercial (1)
1640,15327616,3,Commercial and residential
1641,15327616,5,Unknown age
1642,15327616,14,"1,260 sqft"
1643,15327616,1,"17,203 sqft"
1644,15327616,7,Commercial (1)
1645,15327616,15,Restaurant
6482,15341705,3,Commercial and office space
6483,15341705,14,"1,936 sqft"
6484,15341705,7,Office (1)
299,15342987,3,Offices only
300,15342987,14,"1,300 sqft"
301,15342987,12,"1,300 sqft"
302,15342987,7,Office (1)
303,15342987,15,Shopping centre
729,15345373,3,Commercial only
730,15345373,14,"1,896 sqft"
731,15345373,7,Commercial (1)
3410,15362875,3,Offices only
3411,15362875,14,140 sqft
3412,15362875,7,Office (1)
1686,15366076,3,Commercial only
1687,15366076,14,517 sqft
1688,15366076,7,Commercial (1)
4980,15373583,3,Commercial and office space
4981,15373583,5,1975
4982,15373583,14,"From 4,450 sqft to 21,056 sqft"
4983,15373583,12,"186,686 sqft"
4984,15373583,1,"22,003 sqft"
4985,15373583,7,Commercial (4)
5140,15381628,3,Offices only
5141,15381628,14,"1,855 sqft"
5142,15381628,12,"1,855 sqft"
5143,15381628,7,Office (1)
9418,15391125,3,Commercial only
9419,15391125,14,"3,000 sqft"
9420,15391125,7,Commercial (1)
2726,15401784,3,Commercial only
2727,15401784,5,1974
2728,15401784,14,"3,520 sqft"
2729,15401784,7,Commercial (1)
60,15405253,3,Offices only
61,15405253,14,"1,535 sqft"
62,15405253,7,Commercial (1)
908,15407216,3,Commercial and office space
909,15407216,5,"2017, New"
910,15407216,14,"1,000 sqft"
911,15407216,7,Commercial (1)
1776,15414290,3,Commercial only
1777,15414290,14,920 sqft
1778,15414290,12,920 sqft
1779,15414290,7,Commercial (1)
8506,15418590,3,Industrial and offices
8507,15418590,5,2003
8508,15418590,14,"7,320 sqft"
8509,15418590,7,Industrial (1)
2604,15421479,3,Offices only
2605,15421479,14,92 sqft
2606,15421479,7,Commercial (1)
8692,15439827,3,Commercial and industrial
8693,15439827,14,"2,000 sqft"
8694,15439827,7,Industrial (1)
8308,15478492,3,Commercial and residential
8309,15478492,5,1947
8310,15478492,14,"2,200 sqft"
8311,15478492,12,"2,200 sqft"
8312,15478492,1,"4,100 sqft"
8313,15478492,7,Commercial (1)
6353,15478731,3,Commercial and office space
6354,15478731,5,"To be built, New"
6355,15478731,14,910 sqft
6356,15478731,7,Commercial (1)
9009,15492838,3,Commercial and office space
9010,15492838,14,"1,650 sqft"
9011,15492838,7,Commercial (1)
9012,15492838,15,Other
4739,15493863,3,Commercial and office space
4740,15493863,5,2015
4741,15493863,14,"1,600 sqft"
4742,15493863,1,"58,632 sqft"
4743,15493863,7,Commercial (1)
6890,15493904,3,Industrial only
6891,15493904,14,"1,800 sqft"
6892,15493904,7,Industrial (1)
2125,15500784,3,Commercial and office space
2126,15500784,14,300 sqft
2127,15500784,7,Commercial (1)
2128,15500784,15,Tobacco shop
9088,15502454,3,Commercial and industrial
9089,15502454,14,"6,285 sqft"
9090,15502454,7,Industrial (1)
6005,15520938,3,Commercial and office space
6006,15520938,5,1989
6007,15520938,14,960 sqft
6008,15520938,12,960 sqft
6009,15520938,7,Commercial (1)
5254,15522136,3,Offices only
5255,15522136,14,"2,500 sqft"
5256,15522136,12,"2,516 sqft"
5257,15522136,1,"10,008 sqft"
5258,15522136,7,Warehouse (1)
5259,15522136,15,Other
6485,15538475,3,Commercial only
6486,15538475,14,"4,000 sqft"
6487,15538475,7,Commercial (1)
9312,15564658,3,Commercial and residential
9313,15564658,5,1950
9314,15564658,14,"1,242 sqft"
9315,15564658,7,Commercial (1)
9316,15564658,15,Variety store
4665,15569050,3,Commercial and industrial
4666,15569050,14,"1,553 sqft"
4667,15569050,7,Commercial (1)
4842,15569188,3,Offices only
4843,15569188,14,"1,244 sqft"
4844,15569188,7,Office (1)
1630,15574321,3,Commercial only
1631,15574321,5,2006
1632,15574321,14,100 sqft
1633,15574321,7,Commercial (1)
8124,15579043,3,Industrial only
8125,15579043,5,1976
8126,15579043,14,"5,486 sqft"
8127,15579043,7,Commercial (1)
577,15604027,3,Commercial and industrial
578,15604027,5,2001
579,15604027,14,"2,787 sqft"
580,15604027,12,"2,787 sqft"
581,15604027,7,Commercial (1)
818,15607344,3,Commercial and office space
819,15607344,5,1972
820,15607344,14,"11,300 sqft"
821,15607344,1,"38,591 sqft"
822,15607344,7,Office (1)
823,15607344,15,Variety store
7866,15625576,3,Commercial only
7867,15625576,14,403 sqft
7868,15625576,7,Office (1)
7869,15625576,15,Office
4901,15630178,3,Commercial only
4902,15630178,5,1941
4903,15630178,14,"1,300 sqft"
4904,15630178,12,"1,300 sqft"
4905,15630178,7,Commercial (1)
4906,15630178,15,Other
1292,15644082,3,Commercial and office space
1293,15644082,14,"1,586 sqft"
1294,15644082,7,Office (1)
630,15653217,3,Industrial and offices
631,15653217,14,"From 1,500 sqft to 25,100 sqft"
632,15653217,12,"23,600 sqft"
633,15653217,7,"Industrial (1), Warehouse (1)"
1794,15657539,3,Commercial and office space
1795,15657539,14,"2,300 sqft"
1796,15657539,7,Commercial (1)
6908,15682975,3,Offices only
6909,15682975,5,Unknown age
6910,15682975,14,139 sqft
6911,15682975,7,Office (1)
8831,15696749,3,Offices only
8832,15696749,5,2016
8833,15696749,14,500 sqft
8834,15696749,7,Office (1)
8835,15696749,15,Other
3152,15710287,3,Commercial and industrial
3153,15710287,14,"6,500 sqft"
3154,15710287,7,Office (1)
7660,15727150,3,Commercial and office space
7661,15727150,14,60 sqft
7662,15727150,7,Office (1)
9260,15748708,3,Commercial and office space
9261,15748708,14,1 sqft
9262,15748708,7,Commercial (1)
1938,15749153,3,Commercial and office space
1939,15749153,5,1950
1940,15749153,14,"2,000 sqft"
1941,15749153,7,Commercial (1)
2894,15750549,3,Commercial and office space
2895,15750549,14,"3,200 sqft"
2896,15750549,12,"3,200 sqft"
2897,15750549,7,Office (1)
2786,15760600,3,Offices only
2787,15760600,14,88 sqft
2788,15760600,7,Office (1)
2789,15760600,15,Other
5581,15762923,3,Offices only
5582,15762923,14,135 sqft
5583,15762923,12,135 sqft
5584,15762923,7,Office (1)
8865,15766696,3,Commercial and office space
8866,15766696,5,1901
8867,15766696,14,"1,000 sqft"
8868,15766696,12,"3,064 sqft"
8869,15766696,1,"8,412 sqft"
8870,15766696,7,Commercial (1)
7020,15770247,3,Commercial only
7021,15770247,5,2002
7022,15770247,14,"1,610 sqft"
7023,15770247,7,Commercial (1)
8993,15771672,3,Commercial only
8994,15771672,5,Unknown age
8995,15771672,14,"1,640 sqft"
8996,15771672,12,"1,059 sqft"
8997,15771672,1,"10,701 sqft"
8998,15771672,7,Commercial (1)
4287,15789246,3,Commercial and industrial
4288,15789246,5,2016
4289,15789246,14,"1,500 sqft"
4290,15789246,12,"1,500 sqft"
4291,15789246,7,Commercial (1)
4292,15789246,15,Other
8687,15789894,3,Commercial only
8688,15789894,5,1885
8689,15789894,14,"1,200 sqft"
8690,15789894,7,Commercial (1)
8691,15789894,15,Coffee/Restaurant
2714,15793533,5,2006
2715,15793533,14,300 sqft
2716,15793533,1,"257,827 sqft"
2717,15793533,7,Warehouse (1)
6683,15806839,3,Commercial and office space
6684,15806839,5,1990
6685,15806839,14,"7,530 sqft"
6686,15806839,12,"7,530 sqft"
6687,15806839,7,Commercial (1)
8909,15808972,3,Commercial only
8910,15808972,5,Unknown age
8911,15808972,14,800 sqft
8912,15808972,7,Commercial (1)
8913,15808972,15,Health centre
10439,15813467,1,"49,836 sqft"
10440,15813467,1,Residential
5702,15818502,3,Commercial only
5703,15818502,5,1990
5704,15818502,14,"1,660 sqft"
5705,15818502,7,Commercial (1)
5706,15818502,15,"Travel agency, Jewellery store, Butcher shop, Bakery, Laundromat, Deli/Cheese shop, Shoe repair shop, Candy/Chocolate shop, Ice cream shop, Florist, Dry-cleaning, Pastry shop"
9266,15819677,3,Offices only
9267,15819677,14,From 80 sqft to 330 sqft
9268,15819677,7,Office (3)
9269,15819677,15,Business center
4296,15821438,3,Commercial and office space
4297,15821438,14,"1,716 sqft"
4298,15821438,12,"1,716 sqft"
4299,15821438,7,Commercial (1)
4300,15821438,15,Restaurant
4355,15826274,3,Commercial and office space
4356,15826274,5,"2013, New"
4357,15826274,14,"6,835 sqft"
4358,15826274,12,"6,835 sqft"
4359,15826274,1,"43,475 sqft"
4360,15826274,7,Office (1)
8576,15851619,3,Commercial and office space
8577,15851619,5,Unknown age
8578,15851619,14,"2,028 sqft"
8579,15851619,7,Commercial (1)
3553,15859855,3,Commercial and office space
3554,15859855,5,2002
3555,15859855,14,"2,000 sqft"
3556,15859855,1,"19,000 sqft"
3557,15859855,7,Office (1)
3558,15859855,15,Office space FOR RENT
7244,15873804,3,Commercial and office space
7245,15873804,5,Unknown age
7246,15873804,14,"1,646 sqft"
7247,15873804,7,Commercial (1)
1748,15881953,3,Commercial only
1749,15881953,5,2006
1750,15881953,14,100 sqft
1751,15881953,7,Commercial (1)
4014,15889724,3,Commercial and office space
4015,15889724,5,"Unknown age, Historic"
4016,15889724,14,"From 214 sqft to 9,158 sqft"
4017,15889724,7,Office (4)
6541,15901071,3,Offices only
6542,15901071,5,", Century"
6543,15901071,14,"3,064 sqft"
6544,15901071,7,Office (1)
10301,15911614,3,Commercial and office space
10302,15911614,5,1955
10303,15911614,14,"2,200 sqft"
10304,15911614,12,"8,740 sqft"
10305,15911614,7,Commercial (1)
3474,15924947,3,Commercial only
3475,15924947,5,1970
3476,15924947,14,800 sqft
3477,15924947,7,Commercial (1)
7696,15932620,3,Commercial and office space
7697,15932620,5,1960
7698,15932620,14,"4,800 sqft"
7699,15932620,1,"14,324 sqft"
7700,15932620,7,"Residential (1), Commercial (1)"
7701,15932620,15,Other
6738,15940549,3,Commercial only
6739,15940549,5,1951
6740,15940549,14,"1,368 sqft"
6741,15940549,12,"1,368 sqft"
6742,15940549,7,Commercial (1)
978,15944669,3,Commercial and office space
979,15944669,5,Unknown age
980,15944669,14,"1,000 sqft"
981,15944669,7,Office (1)
143,15953287,3,Commercial and office space
144,15953287,14,"1,200 sqft"
145,15953287,12,"1,200 sqft"
146,15953287,7,Office (1)
5933,15968584,3,Offices only
5934,15968584,5,1950
5935,15968584,14,"1,288 sqft"
5936,15968584,7,Office (1)
5937,15968584,15,office
4126,15972275,3,Commercial and office space
4127,15972275,14,"1,435 sqft"
4128,15972275,7,Commercial (1)
7294,15991684,3,Offices only
7295,15991684,14,100 sqft
7296,15991684,7,Office (1)
10083,15996083,3,Commercial and office space
10084,15996083,5,1991
10085,15996083,14,"1,400 sqft"
10086,15996083,7,Commercial (1)
9714,16008088,3,Commercial only
9715,16008088,14,"1,250 sqft"
9716,16008088,7,Office (1)
9717,16008088,15,Other
3657,16010724,3,Commercial and residential
3658,16010724,5,Unknown age
3659,16010724,14,"1,200 sqft"
3660,16010724,12,"1,200 sqft"
3661,16010724,7,Commercial (1)
8639,16021581,3,Commercial and office space
8640,16021581,14,"1,000 sqft"
8641,16021581,7,Office (1)
3038,16033286,3,Offices only
3039,16033286,5,2017
3040,16033286,14,90 sqft
3041,16033286,7,Commercial (1)
6705,16045659,3,Commercial only
6706,16045659,14,"14,850 sqft"
6707,16045659,7,Commercial (1)
1546,16055700,3,Commercial only
1547,16055700,14,700 sqft
1548,16055700,7,Office (1)
2375,16079641,3,Commercial only
2376,16079641,14,480 sqft
2377,16079641,12,480 sqft
2378,16079641,7,Commercial (1)
5768,16101676,3,Commercial and residential
5769,16101676,5,1905
5770,16101676,14,"2,000 sqft"
5771,16101676,7,Commercial (1)
5772,16101676,15,"Restaurant, Butcher shop, Grocery store, Boutique, Jewellery store"
4283,16106187,3,Commercial and office space
4284,16106187,5,1913
4285,16106187,14,"4,271 sqft"
4286,16106187,7,Commercial (1)
1124,16128709,3,Commercial and office space
1125,16128709,5,1875
1126,16128709,14,"2,044 sqft"
1127,16128709,12,"1,023 sqft"
1128,16128709,7,Office (1)
7440,16139738,3,Commercial and office space
7441,16139738,14,"1,357 sqft"
7442,16139738,7,Office (1)
8318,16142422,3,Offices only
8319,16142422,5,1960
8320,16142422,14,"3,520 sqft"
8321,16142422,12,"3,520 sqft"
8322,16142422,1,"3,760 sqft"
8323,16142422,7,Office (1)
8213,16165567,3,Commercial and residential
8214,16165567,5,1989
8215,16165567,14,240 sqft
8216,16165567,12,240 sqft
8217,16165567,1,"139,080 sqft"
8218,16165567,7,Warehouse (1)
8219,16165567,15,Other
1206,16169755,3,Commercial only
1207,16169755,5,1985
1208,16169755,14,"1,200 sqft"
1209,16169755,12,"1,200 sqft"
1210,16169755,7,Commercial (1)
1211,16169755,15,"Dating agency, Travel agency, Furniture store, Pet shop, Antique, Electronics, Household appliances, Sporting goods, Arts and Crafts, Jewellery store, Bakery, Boutique, Coffee/Donuts, Snack bar, Fitness centre, Health centre, Deli/Cheese shop, Accounting, Candy/Chocolate shop, Ice cream shop, Shoe repair shop, Decoration, Driving school, Computing equipment, Florist, Fruits and vegetables, Newsstand, Massotherapy, Stationery store, Pastry shop, Painting/Wallpaper, Plumbing, Fast food, Restaurant, Beauty salon, Hairdresser, Pet grooming, Locksmith, Photo studio"
5065,16174717,3,Commercial only
5066,16174717,14,"4,092 sqft"
5067,16174717,7,Commercial (1)
7578,16180761,3,Commercial and office space
7579,16180761,5,2006
7580,16180761,14,"From 692 sqft to 4,044 sqft"
7581,16180761,12,"6,713 sqft"
7582,16180761,1,"12,551 sqft"
7583,16180761,7,"Commercial (1), Office (1)"
4592,16191986,3,Commercial only
4593,16191986,14,"4,500 sqft"
4594,16191986,7,Commercial (1)
2827,16192264,3,Industrial and offices
2828,16192264,5,1990
2829,16192264,14,"1,800 sqft"
2830,16192264,1,"217,800 sqft"
2831,16192264,7,Industrial (1)
2918,16201268,3,Commercial and office space
2919,16201268,5,Unknown age
2920,16201268,14,480 sqft
2921,16201268,12,"1,738 sqft"
2922,16201268,7,Commercial (1)
7340,16208384,3,Commercial and office space
7341,16208384,5,Unknown age
7342,16208384,14,800 sqft
7343,16208384,7,Office (1)
4649,16214783,3,Commercial and office space
4650,16214783,5,1985
4651,16214783,14,"2,500 sqft"
4652,16214783,7,Office (1)
5452,16215932,3,Offices only
5453,16215932,14,"1,035 sqft"
5454,16215932,7,Office (1)
9818,16223087,3,Industrial only
9819,16223087,14,"3,850 sqft"
9820,16223087,12,"3,850 sqft"
9821,16223087,7,Industrial (1)
10173,16230384,3,Commercial and office space
10174,16230384,14,"3,500 sqft"
10175,16230384,7,Commercial (1)
8078,16231648,3,Commercial and office space
8079,16231648,5,2004
8080,16231648,14,"From 3,000 sqft to 24,946 sqft"
8081,16231648,7,Commercial (4)
8871,16233053,3,Commercial and residential
8872,16233053,14,720 sqft
8873,16233053,7,Commercial (1)
6357,16239448,3,Commercial and industrial
6358,16239448,5,Unknown age
6359,16239448,14,"3,200 sqft"
6360,16239448,12,"9,000 sqft"
6361,16239448,1,"32,200 sqft"
