0,1,2,3,4,5,6
18977,0,2017,5,3,1,69000
4700,0,,5,3,1,16800
6029,0,1925,5,2,1,9600
4264,0,1956,5,3,1,20520
5360,0,1990,9,3,2,17700
66869,0,2006,8,2,2,33480
39497,0,1973,6,3,1,24000
9483,0,2013,4,2,1,20400
2385,0,1969,10,3,2,38100
3841,0,1968,5,3,1,25740
2818,0,1902,4,2,1,11400
1399,0,1880,4,2,1,14400
2745,0,1957,4,2,1,38940
2879,0,1963,10,3,2,28800
6723,0,1992,5,3,1,31080
4250,0,1926,5,3,1,14004
8800,0,1978,5,3,1,7212
1843,0,1965,5,3,1,26340
1900,0,1939,5,2,1,19560
5739,0,1989,6,4,2,22080
6655,0,1875,5,2,1,12300
2905,0,1937,6,2,2,24000
2362,0,1941,4,2,1,37200
2054,0,1955,5,3,1,27180
8249,0,1965,5,3,1,22740
2500,0,1920,7,2,1,40104
6392,0,2000,7,3,1,31680
19342,0,1971,8,3,2,16440
4467,0,1935,5,2,1,19800
8954,0,2007,4,2,1,32220
15263,0,1976,4,2,1,71100
7000,0,1959,4,2,2,12420
6372,0,2017,4,2,1,30600
3780,0,1966,5,3,1,31560
7123,1,1947,9,4,1,24120
8153,0,1958,5,3,1,24
7609,0,1938,5,3,1,6600
3712,0,2015,6,3,2,30000
7823,0,,6,4,1,12000
2700,0,1967,5,3,1,37092
6533,0,2012,7,3,1,22800
5690,1,,4,2,1,30480
5159,0,1955,4,2,1,34380
5286,0,,5,3,1,20940
10599,0,1914,5,3,1,15600
7528,0,2003,5,3,1,34020
3091,0,1945,7,3,2,22800
8782,0,1989,9,2,1,18252
3447,0,1920,4,2,1,12720
3915,0,1977,10,3,3,47580
5226,1,,7,3,1,25800
38212,0,1918,11,6,1,28800
3039,0,1890,7,2,1,16500
5900,1,2002,9,5,2,1
3149,0,1910,8,3,1,18000
27563,0,1986,6,3,1,24480
6500,0,1955,5,3,1,8412
11768,0,,4,2,1,43080
9423,0,1992,4,2,1,24528
5589,0,1950,7,3,2,15120
6518,0,1950,5,3,1,14100
2292,0,1950,4,2,1,15000
3750,0,1958,7,3,2,28320
10112,0,1955,9,3,1,8880
3790,0,2017,5,3,1,47000
41668,1,1880,8,2,1,44580
7750,0,1947,8,5,2,30000
7589,0,,7,3,1,24780
7571,0,1956,5,3,1,34800
9332,0,,4,2,1,44700
5098,0,1967,6,3,1,28560
10505,1,1900,9,4,2,1
13122,0,1988,4,2,2,8400
3163,0,1958,5,3,1,24960
6752,0,1972,5,3,1,23400
7516,0,1938,5,2,1,18480
16647,0,1963,20,10,12,1
4058,0,1860,5,3,1,10800
5068,0,1947,5,3,1,12000
5901,0,1880,5,2,1,10800
4500,0,1938,4,2,1,18900
1793,0,1900,4,2,1,21960
4545,0,1973,4,2,1,66540
4678,0,1972,4,2,1,58524
4199,0,1980,9,3,2,34644
7353,0,1900,5,3,1,20100
7999,0,1938,12,3,2,40800
2899,0,1973,6,4,1,32400
1750,0,,4,2,1,24372
2894,0,1965,5,3,1,24900
10697,0,1996,4,2,1,17280
5999,0,1952,4,2,1,11880
17289,1,,5,3,1,100380
3289,0,1996,4,2,1,15420
2225,0,1957,4,2,1,23280
1384,1,,4,2,1,71400
1933,0,1900,4,2,1,19800
3025,0,1910,5,2,1,30300
7921,1,1968,6,3,1,59400
3267,0,1966,5,3,1,20340
6500,0,,5,3,1,840
4250,0,1958,4,2,1,36240
5400,0,1953,4,2,1,15900
4013,0,1966,7,3,2,26040
8896,0,1972,5,2,1,1
6001,0,1940,4,2,1,20160
10200,0,,5,3,1,15300
6960,0,1957,8,3,2,20100
9044,0,,4,2,1,11640
5000,0,1967,6,3,1,17400
6981,0,1945,5,3,2,20040
4652,0,1929,8,3,2,27240
16363,0,,5,3,1,33600
2206,0,1950,6,3,1,34236
8448,0,1947,11,4,2,14940
4500,0,1960,5,2,1,26580
2054,0,1955,7,3,2,24780
9500,0,1974,4,2,1,16920
8273,1,1967,5,3,1,59988
3222,0,1930,5,3,1,16800
7500,0,1900,5,4,1,49140
6956,0,,4,2,1,33120
6380,0,1950,5,2,1,14580
99275,0,1988,8,3,2,36000
4550,0,1950,5,3,2,22200
6700,0,1962,5,3,1,32160
8590,0,2005,4,2,1,32100
11828,0,1905,10,6,1,55260
6000,0,1950,4,2,1,26760
3423,0,1963,7,4,1,41220
7878,0,,7,3,1,16800
3355,0,1943,4,2,1,18720
5000,0,1954,5,2,1,28500
9118,0,1988,5,3,1,30120
3654,0,1950,6,3,1,32700
5343,0,1940,7,3,1,12900
2625,0,,4,2,1,23940
3627,0,1964,5,4,2,31200
3374,0,1975,6,3,1,26400
14000,0,1948,4,2,1,12600
5500,0,,8,4,1,12600
9840,0,1941,6,3,2,11040
2519,0,1957,5,2,1,18900
8550,0,1977,4,2,1,46800
12621,0,,4,2,1,26280
4050,0,1935,4,2,1,13200
1750,0,1959,6,3,1,24480
36113,0,1985,5,2,1,18480
5400,0,1975,13,5,2,26100
5015,0,1961,5,3,1,26400
3000,0,1966,8,4,2,38568
4111,0,,5,3,1,26100
2250,0,1900,5,2,1,29640
6900,0,1927,4,2,1,15600
4500,0,1935,6,3,1,17940
7742,0,1950,5,2,2,10104
3062,0,1950,4,2,1,28740
5224,0,1968,7,4,2,26508
27276,0,1960,5,2,1,38880
5000,1,1945,5,2,1,30000
6041,0,2011,4,2,1,27900
48400,0,1948,7,3,2,10800
3751,0,1920,7,3,1,38520
7282,0,2003,5,2,1,20784
6426,0,1948,8,3,1,12300
28572,0,1900,5,3,1,20640
3509,0,1973,5,3,1,32400
15000,0,1974,5,2,2,19620
1850,1,1924,4,2,1,97920
18348,0,1976,12,4,2,1800
4736,0,1980,5,3,1,17760
4026,0,1954,10,5,2,30420
4500,0,1979,5,3,1,36900
3170,1,1958,4,2,1,61800
6186,0,1962,4,2,1,43920
1706,0,1956,6,3,1,40044
3687,0,2016,5,3,1,15900
5353,0,,5,3,1,12120
2633,0,1954,6,3,1,39600
5200,0,1963,6,3,1,36180
9100,0,1977,4,2,1,23760
6650,0,1950,4,2,1,24120
5000,1,1950,4,2,1,38628
7888,0,1895,5,2,1,12960
16473,0,2013,6,2,1,24
4500,0,1962,5,2,1,24120
6225,0,1960,4,2,1,45360
4500,0,1943,9,3,2,16920
5000,0,1953,5,3,1,17700
7798,0,1975,6,3,2,52800
2722,0,,4,2,1,9120
7036,0,,5,3,1,17520
3850,0,1990,11,4,3,29700
4630,0,2010,4,2,1,42480
2775,0,1965,5,3,1,28200
7007,0,1948,4,2,1,33540
7322,0,2011,11,3,2,25320
22500,0,1967,5,3,2,14400
10254,0,1964,4,2,1,13620
4698,0,1949,5,3,1,13800
4034,0,1915,7,4,1,51900
12142,0,1974,8,4,1,16560
8170,0,2017,4,2,1,64920
7295,0,1990,5,3,2,34680
2074,0,1969,5,2,1,8412
4980,0,1960,12,4,2,43560
4275,0,1950,7,2,2,5400
4812,0,1986,6,3,2,33000
35782,0,1994,5,2,1,182760
9945,0,1920,5,3,1,37080
5338,1,1952,5,3,1,25850
4350,0,1957,6,3,1,39420
11729,1,,4,2,1,37980
5000,0,,5,3,1,10680
19472,0,1900,5,3,1,33600
7337,0,1991,5,3,1,25680
3100,0,1930,7,3,1,103140
5374,0,1986,6,2,1,17400
4061,0,1924,4,2,1,13920
6500,1,1985,6,3,2,42000
17450,0,1985,5,3,1,25800
17784,1,1892,6,3,1,44400
5810,0,1950,4,2,1,11040
5920,0,1950,5,3,1,24480
5702,0,,4,2,1,22080
4451,0,1955,4,2,1,18660
3768,0,1959,5,2,1,28800
2874,0,1913,4,2,1,16800
4378,0,,5,3,1,24000
5300,0,1953,4,2,1,16380
12607,0,,7,2,2,9300
7578,0,1986,4,2,1,32700
50000,0,1920,4,2,1,12600
2360,1,,6,4,1,113520
2459,1,1923,4,2,1,23400
6294,0,1985,7,3,1,14640
13670,1,1954,6,2,1,13200
8255,0,2008,8,4,3,69120
6254,0,1960,4,2,1,23460
6766,0,1910,6,3,2,12600
6189,0,1947,4,2,1,9600
4420,0,2017,6,3,1,37620
6000,0,1955,4,2,1,25740
5100,0,1986,10,3,3,42180
31365,1,1978,6,2,1,18000
10697,0,1978,4,2,1,33600
7128,0,1990,5,3,2,32460
11166,0,1985,5,3,1,27000
9326,0,2001,8,3,2,23400
8043,0,2005,8,3,2,8400
4184,0,1950,5,3,1,12300
3458,1,1931,6,3,1,20220
7690,0,2011,5,2,1,55200
4850,0,1940,6,3,1,14460
3777,0,1971,5,3,1,29160
5500,0,1991,5,3,1,27588
6051,0,1995,9,4,2,19800
5077,0,1981,6,3,2,37140
7144,0,1971,7,3,1,19824
4000,0,1940,7,3,2,32880
2632,0,1939,5,2,1,16680
4149,0,1973,5,3,1,25800
3115,0,1965,10,3,1,16920
10618,0,2004,4,2,1,23760
16516,0,2009,7,4,2,41700
4731,0,1973,5,3,2,8400
4324,0,1896,4,2,1,10860
9608,0,1951,5,3,1,12960
10000,0,,5,3,2,22200
4491,0,1951,6,3,1,24
2280,0,1963,5,3,1,25140
2066,0,,5,3,1,41520
10025,0,1949,5,2,1,47700
2000,0,1955,7,2,2,24000
4508,0,1966,5,3,1,24960
16658,0,1955,12,3,2,26700
9192,0,1967,8,4,2,26520
6017,0,1987,6,3,2,33984
8805,0,,4,2,1,24360
4700,1,,4,2,1,31440
4311,0,,4,2,1,17340
10743,0,1947,7,2,1,8340
2418,0,1956,9,4,2,27240
5000,0,1963,5,3,1,37128
6269,0,1930,9,4,3,28800
3300,0,1911,5,3,1,11760
3479,0,1880,6,4,1,12240
6500,0,1954,5,3,1,12000
5625,0,,8,2,1,21000
2100,0,1942,6,2,1,20020
3420,0,2017,7,2,1,26280
8711,0,2003,5,3,1,16380
2665,0,1917,4,2,1,31800
12820,0,1980,4,2,1,56280
2842,0,1895,10,3,2,27540
33793,0,1955,4,2,1,10800
4496,0,1955,4,2,1,25200
12992,0,1949,4,2,1,68700
7773,0,1985,6,2,1,12300
14340,0,1965,4,2,1,65820
8370,0,1967,5,3,1,31260
1850,0,1959,5,3,1,20400
6005,0,1926,4,2,1,34200
8121,0,2010,4,2,1,32460
12344,0,,4,2,1,18420
4000,0,1954,5,3,1,39420
8674,0,1944,4,2,1,29664
6263,0,1950,5,3,1,16200
7637,1,,12,5,2,22200
1334,0,1935,6,2,1,14760
18521,0,2004,5,2,1,23100
7504,0,1950,6,4,2,18300
52463,0,1922,8,5,2,44760
6297,1,1936,5,3,1,34800
5098,0,1925,4,2,1,27576
51920,0,,9,3,2,15600
3447,0,1910,6,2,1,16920
9684,0,,5,3,1,28200
6217,0,1910,4,2,1,13620
3250,0,1951,7,3,1,10800
5000,1,,4,2,1,15600
12000,0,1957,11,4,1,15600
8845,0,1966,4,2,1,46440
11572,0,2007,4,2,1,43200
33121,0,1920,4,2,1,13500
3003,0,1902,5,3,1,16440
6400,0,,5,2,1,19200
5051,0,1954,8,4,1,38400
8069,0,2010,5,3,1,18600
4465,0,1953,8,3,2,17400
7521,0,2017,5,3,1,48
2260,0,1910,6,2,1,21960
9576,0,2017,5,3,1,36000
3659,0,,5,2,1,14700
5124,0,1971,9,4,2,30420
4091,0,1910,7,3,1,17520
3936,0,2010,8,3,1,18900
10540,0,1950,6,3,1,12000
4400,0,,6,2,1,25800
2786,0,1948,4,2,1,18120
71733,0,2005,7,3,2,21840
2599,0,1947,5,3,1,21060
5000,0,,7,3,1,19560
2042,0,1960,9,3,2,30000
6964,1,,5,3,1,32400
100750,1,1800,7,4,1,13200
3737,0,1962,6,4,2,17280
3186,0,1988,5,2,1,23460
4500,0,1950,4,2,1,15300
4513,0,1946,8,3,2,14160
3862,0,1958,5,3,1,36000
4544,0,1985,5,2,1,35400
1750,0,1924,4,2,1,15300
13750,0,,14,4,3,400
6900,1,,5,2,1,25296
5300,0,1920,7,3,2,30840
3087,1,1955,4,2,1,35880
6351,0,1975,5,2,1,34200
31321,0,,5,2,1,14820
4400,0,1952,4,2,1,15360
1174,0,1900,4,2,1,20760
5300,0,1955,4,2,1,16440
4240,0,2017,7,3,2,23400
6262,0,1940,5,3,1,35400
4940,0,1950,7,4,2,22200
4800,0,1940,8,3,1,25200
8902,0,1947,4,2,1,9060
5000,0,1923,4,2,1,10560
6145,0,2011,8,2,1,36540
14976,0,,7,2,1,1000
7614,0,1950,5,3,1,18600
4680,0,2016,5,2,1,39000
9065,0,1989,5,3,1,27000
5791,0,2011,4,2,1,33780
9350,0,1967,5,3,1,19620
7568,0,2006,7,4,2,46200
8361,0,1956,6,2,1,10212
5000,0,1940,4,2,1,17664
4016,0,2008,4,2,1,14400
1884,0,1910,4,2,1,20760
2659,0,1943,4,2,1,13800
8393,0,1974,10,4,2,18000
5760,1,1956,5,3,1,48240
11140,0,1967,5,3,1,59532
10065,0,1950,4,2,1,22800
4000,0,1990,9,3,3,52800
7837,1,,5,2,1,18000
2812,0,1957,8,3,2,30900
3100,0,1960,6,3,1,25068
6125,0,1927,5,2,1,12240
464,0,1950,6,2,1,25800
6000,0,,4,2,1,15840
5038,0,1959,5,3,2,18720
6483,0,1979,16,4,3,3000
10000,0,2017,4,2,1,68400
6884,1,1910,8,3,1,12840
2753,0,,5,2,1,15000
4500,0,,5,3,1,9900
2711,0,1967,7,3,1,26400
7615,0,1953,4,2,1,30264
6000,0,1938,4,2,1,13260
10921,1,2002,4,2,1,28560
28047,1,1970,5,3,1,42468
6000,0,1950,5,3,1,6600
4844,0,1968,8,3,2,28200
2653,0,1988,4,2,1,25020
