0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
10517484,,,Commercial and office space,,"Under construction, New",,"Commercial (1), Office (1)",,,,,,,"From 10,000 sqft to 20,000 sqft","Pet shop, Butcher shop, Boutique, Bakery, Deli/Cheese shop, Florist, Grocery store, Fruits and vegetables, Pharmacy, Restaurant, Beauty salon",
10529258,,,Commercial only,,2006,,Commercial (1),,,,,,,"1,105 sqft",,
10533336,,,Industrial and offices,,Unknown age,,Warehouse (1),,,,,,,"16,628 sqft",,
10558363,,,Offices only,,2017,,Office (1),,,,,,,104 sqft,,
10559549,"24,927 sqft",,Industrial only,,1957,,Industrial (1),,,,,,,"13,300 sqft",,
10578526,,,Commercial and office space,,2017,,Commercial (1),,,,,,,"1,186 sqft",,
10580674,,,Offices only,,,,Office (1),,,,,124 sqft,,124 sqft,,
10609469,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,"2,700 sqft",,
10617776,,,Offices only,,,,Office (1),,,,,,,"4,640 sqft",,
10619022,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,"12,000 sqft",,"12,000 sqft","Shopping centre, Other",
10623599,,,Offices only,,1853,,Office (1),,,,,,,181 sqft,,
10626803,,,Industrial and offices,,2014,,Industrial (1),,,,,,,"7,200 sqft",Other,
10640282,,,Commercial and office space,,1987,,Office (1),,,,,,,533 sqft,,
10650508,,,Commercial only,,2008,,Commercial (4),,,,,,,"From 325 sqft to 3,078 sqft",,
10656164,,,Commercial only,,,,Commercial (1),,,,,,,169 sqft,Beauty salon,
10659727,,,Commercial and office space,,1926,,Commercial (1),,,,,,,"2,000 sqft",,
10667657,,,Commercial and office space,,1870,,Commercial (1),,,,,,,"3,182 sqft","Bar,Restaurant, Spectacle,Grocery store, offices",
10697437,,,Offices only,,,,Office (1),,,,,,,"3,000 sqft",,
10706204,,,Commercial and office space,,1902,,Commercial (1),,,,,,,"1,606 sqft",,
10706648,"33,637 sqft",,Offices only,,1977,,Office (2),,,,,"43,000 sqft",,"From 1,250 sqft to 3,870 sqft",,
10719108,"1,903 sqft",,Commercial only,,"1850, Century",,Commercial (1),,,,,,,"1,300 sqft",,
10722910,,,Commercial and office space,,2007,,Commercial (1),,,,,960 sqft,,"1,280 sqft",,
10738935,"2,266 sqft",,Commercial and office space,,"1954, Being converted",,Commercial (1),,,,,"2,146 sqft",,"2,146 sqft",Subject to approval of Owner,
10741178,,,Commercial and office space,,,,Commercial (1),,,,,,,721 sqft,,
10758600,,,Commercial only,,,,Office (1),,,,,,,188 sqft,offices,
10761734,,,Commercial and office space,,,,Office (1),,,,,,,"1,294 sqft",,
10764940,,,Commercial and office space,,,,Office (1),,,,,,,"2,000 sqft",,
10785369,"17,120 sqft",,Commercial only,,1972,,Commercial (1),,,,,,,"2,728 sqft",,
10785514,,,Commercial and office space,,,,,,,,,675 sqft,,,,
10786105,,,Offices only,,,,Office (1),,,,,150 sqft,,150 sqft,,
10793241,,,Commercial only,,,,Commercial (1),,,,,"3,000 sqft",,"3,000 sqft",,
10799441,"13,093 sqft",,Offices only,,1952,,Office (1),,,,,"1,204 sqft",,195 sqft,,
10801010,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,"17,000 sqft",,"8,500 sqft",,
10821139,"13,258 sqft",,Commercial and office space,,"To be built, New",,Commercial (2),,,,,"7,760 sqft",,"From 1,500 sqft to 5,100 sqft",offices spaces,
10821816,,,Commercial only,,,,Commercial (1),,,,,,,850 sqft,,
10824804,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,917 sqft",,
10831150,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,310 sqft,Other,
10851212,,,Commercial and office space,,,,Commercial (4),,,,,,,"From 1,135 sqft to 13,645 sqft",,
10852609,,,Commercial and office space,,1982,,,,,,,"1,425 sqft",,,,
10861135,,,Industrial and offices,,,,Warehouse (1),,,,,"9,000 sqft",,"4,000 sqft",,
10865110,,,Industrial only,,,,Industrial (1),,,,,,,"17,291 sqft",,
10886862,,,Commercial only,,,,Commercial (1),,,,,,,"1,100 sqft",,
10889558,,,Offices only,,,,Office (1),,,,,,,"15,412 sqft",Other,
10896278,,,Commercial and office space,,,,Office (1),,,,,,,"1,840 sqft",Other,
10910992,,,Commercial and industrial,,"To be built, New",,Commercial (1),,,,,"3,600 sqft",,"3,600 sqft",,
