0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
15121975,"11,507 sqft",,Commercial only,,1977,,Office (1),,,,,"2,500 sqft",,"2,500 sqft",Other,
15137790,,,Offices only,,,,Office (1),,,,,,,108 sqft,Other,
15143655,"9,389 sqft",,Commercial and office space,,1978,,Commercial (1),,,,,,,"9,386 sqft",,
15163223,,,Commercial and office space,,,,Commercial (1),,,,,"1,983 sqft",,"1,983 sqft",,
15174191,"19,427 sqft",,Offices only,,2017,,Office (1),,,,,"3,380 sqft",,5 sqft,,
15174730,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,150 sqft",,
15190608,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,773 sqft",,
15197132,,,Commercial and office space,,,,Office (1),,,,,,,200 sqft,,
15198474,,,Offices only,,,,Office (1),,,,,,,"1,600 sqft",,
15199002,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,200 sqft",,
15212108,,,Commercial and office space,,,,Commercial (1),,,,,,,900 sqft,,
15212933,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,750 sqft,,800 sqft,,
15213338,"1,350 sqft",,Commercial and office space,,1964,,"Commercial (2), Office (1)",,,,,,,"From 2,500 sqft to 12,002 sqft",School,
15213524,,,Commercial and office space,,,,Commercial (1),,,,,,,855 sqft,,
15218064,,,Offices only,,,,Office (1),,,,,,,"2,410 sqft",,
15229412,"3,714 sqft",,Commercial only,,2007,,Warehouse (1),,,,,"1,453 sqft",,"1,500 sqft",,
15229741,,,Commercial and office space,,2017,,Commercial (1),,,,,,,"1,090 sqft",,
15233147,,,Commercial only,,,,Commercial (1),,,,,,,"1,125 sqft",,
15241322,"31,273 sqft",,Commercial and office space,,1990,,"Commercial (1), Office (1), Warehouse (1)",,,,,"4,860 sqft",,"From 1,030 sqft to 7,030 sqft",,
15256573,,,Commercial and office space,,2015,,Commercial (1),,,,,"32,500 sqft",,"5,000 sqft",Shopping centre,
15258604,,,Commercial and industrial,,,,Industrial (1),,,,,"5,025 sqft",,"5,025 sqft",,
15269014,,,Commercial only,,,,Commercial (1),,,,,,,"1,200 sqft",Other,
15281982,"92,085 sqft",,Commercial only,,1970,,Commercial (1),,,,,"84,109 sqft",,"19,385 sqft",,
15282332,,,Commercial only,,,,Commercial (1),,,,,,,"1,000 sqft",,
15299371,Residential,,,,,,,,,,,,,,,
15300222,,,Commercial and office space,,,,Commercial (1),,,,,,,895 sqft,,
15307925,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,157 sqft",,
15325974,"10,315 sqft",,Commercial and office space,,2013,,Office (1),,,,,"1,500 sqft",,"1,500 sqft",,
15326788,,,Industrial only,,,,Industrial (1),,,,,"5,027 sqft",,"5,027 sqft",,
15327616,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,"4,192 sqft",Other,
15341705,"11,034 sqft",,Offices only,,2011,,Office (1),,,,,,,75 sqft,,
15342987,"89,450 sqft",,Offices only,,1988,,Commercial (1),,,,,"3,230 sqft",,"3,230 sqft",,
15345373,,,Commercial and industrial,,,,Commercial (1),,,,,,,"9,215 sqft",Other,
15362875,,,Commercial only,,,,Commercial (1),,,,,,,"1,550 sqft",,
15366076,"1,264,425 sqft",,Industrial only,,,,Industrial (1),,,,,1 sqft,,"15,000 sqft",,
15373583,,,Commercial only,,"To be built, New",,Commercial (1),,,,,,,"4,000 sqft",voir grille d'usage ci-joint joint,
15381628,,,Commercial only,,,,Commercial (1),,,,,,,537 sqft,,
15391125,,,Offices only,,,,Commercial (1),,,,,,,"1,596 sqft",Health centre,
15401784,,,Offices only,,,,Office (1),,,,,111 sqft,,111 sqft,,
15405253,,,Commercial and office space,,,,Commercial (1),,,,,,,935 sqft,Hairdresser,
15407216,,,Commercial only,,,,Commercial (3),,,,,,,"From 6,250 sqft to 37,500 sqft",,
15414290,,,Commercial only,,1980,,Commercial (1),,,,,,,"1,180 sqft",,
15418590,,,Industrial and offices,,1978,,"Industrial (1), Office (1)",,,,,,,"From 1,196 sqft to 2,499 sqft",,
15421479,,,Commercial and office space,,1929,,Commercial (1),,,,,,,"4,000 sqft",,
15439827,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,303 sqft",Restaurant,
15478492,"8,887 sqft",,Commercial and office space,,1978,,Commercial (1),,,,,,,"2,564 sqft",,
15478731,,,Offices only,,1971,,Office (1),,,,,"2,387 sqft",,"2,387 sqft",,
15492838,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,"2,000 sqft",Bar,
15493863,,,Commercial and industrial,,,,Commercial (1),,,,,,,"2,900 sqft",,
15493904,"16,690 sqft",,Commercial only,,1928,,Commercial (1),,,,,"6,884 sqft",,"11,470 sqft",,
15500784,,,Commercial only,,1962,,Commercial (1),,,,,,,834 sqft,,
15502454,,,Offices only,,,,Office (1),,,,,,,129 sqft,,
15520938,,,Offices only,,,,Office (1),,,,,,,"1,888 sqft",Other,
15522136,,,Commercial and office space,,1967,,Office (1),,,,,,,"2,807 sqft",,
15538475,,,Commercial and industrial,,,,Industrial (1),,,,,,,"1,920 sqft",,
15564658,"22,900 sqft",,Commercial and residential,,1970,,Office (5),,,,,"28,346 sqft",,"From 1,575 sqft to 13,171 sqft",,
15569050,,,Industrial and offices,,,,Industrial (1),,,,,,,"7,231 sqft",Other,
15569188,"21,813 sqft",,Commercial and office space,,1987,,Commercial (1),,,,,"10,264 sqft",,"10,264 sqft",,
15574321,,,Offices only,,,,Office (1),,,,,,,"1,606 sqft",Office,
15579043,"37,220 sqft",,Commercial and office space,,1960,,Commercial (1),,,,,,,"2,050 sqft",,
15604027,,,Commercial and residential,,,,Commercial (1),,,,,,,"1,200 sqft",,
15607344,"51,481 sqft",,Commercial and industrial,,2010,,Commercial (1),,,,,"3,813 sqft",,"2,280 sqft",Other,
15625576,,,Commercial only,,1974,,Commercial (1),,,,,,,760 sqft,,
15630178,,,Commercial only,,,,Commercial (1),,,,,,,"2,035 sqft",,
15644082,,,Offices only,,,,Office (1),,,,,,,"2,104 sqft",,
15653217,,,Commercial only,,,,Commercial (1),,,,,,,"1,035 sqft",Other,
15657539,,,Commercial and office space,,,,Office (1),,,,,"6,591 sqft",,"6,591 sqft",,
15682975,,,Offices only,,Unknown age,,Office (1),,,,,,,"3,614 sqft",,
15696749,,,Commercial and industrial,,"2017, New",,Commercial (1),,,,,,,"1,564 sqft",Other,
15710287,,,Commercial and office space,,,,Commercial (1),,,,,500 sqft,,700 sqft,,
15727150,,,Commercial and industrial,,,,Commercial (1),,,,,,,825 sqft,,
15748708,"44,913 sqft",,Commercial only,,1990,,Commercial (1),,,,,"11,575 sqft",,"11,575 sqft",,
15749153,,,Commercial and office space,,,,Office (1),,,,,,,100 sqft,,
15750549,,,Offices only,,,,Commercial (1),,,,,,,909 sqft,,
15760600,"14,807 sqft",,Commercial only,,1969,,Commercial (1),,,,,"5,236 sqft",,"5,236 sqft",Other,
15762923,"10,000 sqft",,Commercial and office space,,2017,,Commercial (1),,,,,,,"3,500 sqft",,
15766696,,,Commercial only,,1974,,Commercial (1),,,,,,,"1,300 sqft",,
15770247,Residential,,,,,,,,,,,,,,,
15771672,"143,258 sqft",,Commercial only,,Unknown age,,Industrial (1),,,,,"8,500 sqft",,"12,500 sqft",,
15789246,,,Commercial only,,1920,,Commercial (1),,,,,,,"3,000 sqft",Restaurant,
15789894,Residential,,,,,,,,,,,,,,,
15793533,,,Commercial and office space,,,,Office (1),,,,,,,"5,000 sqft",,
15806839,,,Commercial only,,,,Commercial (3),,,,,,,"From 2,446 sqft to 11,722 sqft",,
15808972,,,Commercial and office space,,Unknown age,,Office (1),,,,,,,1 sqft,,
15813467,,,Commercial only,,,,Commercial (1),,,,,"2,000 sqft",,"4,750 sqft",,
15818502,,,Commercial and office space,,,,Office (1),,,,,,,"1,030 sqft",,
15819677,"13,186 sqft",,Commercial only,,Unknown age,,Commercial (1),,,,,884 sqft,,884 sqft,Other,
15821438,,,Commercial only,,,,Commercial (1),,,,,,,715 sqft,,
15826274,,,Commercial only,,"To be built, New",,Commercial (1),,,,,,,"3,875 sqft",Restaurant,
15851619,"17,763 sqft",,Commercial and industrial,,Unknown age,,"Commercial (2), Industrial (1)",,,,,"6,452 sqft",,"From 1,539 sqft to 8,508 sqft",,
15859855,,,Commercial and office space,,,,Commercial (1),,,,,"2,200 sqft",,"2,200 sqft",,
15873804,,,Commercial only,,,,Commercial (1),,,,,,,"2,247 sqft",,
15881953,,,Commercial and office space,,"Under construction, New",,Commercial (1),,,,,,,"4,500 sqft",,
15889724,,,Commercial and office space,,,,Office (1),,,,,,,"2,088 sqft",Other,
15901071,,,Commercial and office space,,,,Commercial (1),,,,,"2,000 sqft",,"2,000 sqft",Furniture repair,
15911614,,,Commercial only,,"To be built, New",,Commercial (1),,,,,,,"3,883 sqft",,
15924947,,,Commercial only,,1993,,Commercial (1),,,,,"5,600 sqft",,"5,600 sqft",,
15932620,,,Offices only,,,,Office (1),,,,,160 sqft,,160 sqft,,
15940549,,,Commercial and office space,,1978,,Commercial (1),,,,,"5,000 sqft",,"5,000 sqft",Other,
15944669,,,Offices only,,,,Office (1),,,,,140 sqft,,140 sqft,,
15953287,,,Offices only,,,,Office (1),,,,,"6,960 sqft",,"6,960 sqft",,
15968584,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,400 sqft",,
15972275,,,Offices only,,,,Office (1),,,,,,,"4,024 sqft",Office,
15991684,,,Commercial only,,,,Commercial (1),,,,,,,"1,500 sqft",,
15996083,,,Commercial and office space,,1965,,Commercial (1),,,,,,,"1,300 sqft","Hairdresser, Hairdresser - Men's, Beauty salon",
16008088,,,Commercial and industrial,,1970,,Commercial (1),,,,,"5,534 sqft",,"5,534 sqft",,
16010724,,,Commercial and office space,,1973,,Commercial (1),,,,,,,"3,700 sqft",,
16021581,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,,,"1,630 sqft",,
16033286,,,Commercial and office space,,Unknown age,,Office (1),,,,,,,"5,075 sqft",,
16045659,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,400 sqft",,
16055700,,,Commercial only,,"1950, Being converted",,Commercial (1),,,,,,,"4,500 sqft",Restaurant,
16079641,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,000 sqft",Other,
16101676,,,Commercial and office space,,,,Commercial (1),,,,,,,950 sqft,,
16106187,,,Commercial only,,,,Commercial (1),,,,,,,600 sqft,Restaurant,
16128709,"156,096 sqft",,Commercial only,,2001,,Commercial (1),,,,,,,"7,774 sqft",,
16139738,,,Commercial and office space,,,,Office (1),,,,,,,"5,837 sqft",Other,
16142422,,,Commercial and office space,,1980,,Commercial (1),,,,,,,802 sqft,Office or services,
16165567,,,Offices only,,,,Office (1),,,,,,,800 sqft,,
16169755,,,Commercial and industrial,,,,Commercial (1),,,,,,,"5,690 sqft",,
16174717,,,Offices only,,,,Office (1),,,,,,,"5,000 sqft",,
16180761,,,Commercial and office space,,,,Commercial (1),,,,,"1,642 sqft",,"1,642 sqft",Other,
16191986,"19,894 sqft",,Commercial and office space,,1988,,Commercial (1),,,,,"1,040 sqft",,"1,040 sqft",,
16192264,,,Commercial and office space,,,,Commercial (1),,,,,,,500 sqft,,
16201268,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,000 sqft",,
16208384,,,Industrial and offices,,,,Office (1),,,,,,,700 sqft,,
16214783,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,300 sqft",,
16215932,,,Offices only,,1974,,Office (1),,,,,,,"1,337 sqft",,
16223087,"5,614 sqft",,Commercial only,,1930,,Commercial (1),,,,,,,1 sqft,,
16230384,,,Commercial only,,2005,,Commercial (1),,,,,,,"2,894 sqft",,
16231648,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,,,487 sqft,,
16233053,"31,900 sqft",,Commercial only,,1963,,Commercial (1),,,,,"4,300 sqft",,"4,300 sqft",,
16239448,,,Offices only,,1980,,Office (1),,,,,,,"1,588 sqft",,
16249314,,,Commercial and office space,,Unknown age,,Office (1),,,,,"3,100 sqft",,"3,130 sqft",Accounting,
16260884,,,Commercial only,,,,Commercial (1),,,,,,,"3,500 sqft",,
16266310,,,Commercial and office space,,1960,,Commercial (1),,,,,,,"5,000 sqft",,
16278903,"17,203 sqft",,Commercial and residential,,Unknown age,,Commercial (1),,,,,,,"1,260 sqft",Restaurant,
16296067,,,Commercial and office space,,,,Office (1),,,,,,,"1,936 sqft",,
16313879,,,Offices only,,,,Office (1),,,,,"1,300 sqft",,"1,300 sqft",Shopping centre,
16316082,,,Commercial only,,,,Commercial (1),,,,,,,"1,896 sqft",,
16322123,,,Offices only,,,,Office (1),,,,,,,140 sqft,,
16325457,,,Commercial only,,,,Commercial (1),,,,,,,517 sqft,,
16346985,"22,003 sqft",,Commercial and office space,,1975,,Commercial (4),,,,,"186,686 sqft",,"From 4,450 sqft to 21,056 sqft",,
16353573,,,Offices only,,,,Office (1),,,,,"1,855 sqft",,"1,855 sqft",,
16380906,,,Commercial only,,,,Commercial (1),,,,,,,"3,000 sqft",,
16381005,,,Commercial only,,1974,,Commercial (1),,,,,,,"3,520 sqft",,
16417648,,,Offices only,,,,Commercial (1),,,,,,,"1,535 sqft",,
16419235,,,Commercial and office space,,"2017, New",,Commercial (1),,,,,,,"1,000 sqft",,
16431939,,,Commercial only,,,,Commercial (1),,,,,920 sqft,,920 sqft,,
16439503,,,Industrial and offices,,2003,,Industrial (1),,,,,,,"7,320 sqft",,
16441103,,,Offices only,,,,Commercial (1),,,,,,,92 sqft,,
16443575,,,Commercial and industrial,,,,Industrial (1),,,,,,,"2,000 sqft",,
16446258,"4,100 sqft",,Commercial and residential,,1947,,Commercial (1),,,,,"2,200 sqft",,"2,200 sqft",,
16448689,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,,,910 sqft,,
16452570,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,650 sqft",Other,
16454149,"58,632 sqft",,Commercial and office space,,2015,,Commercial (1),,,,,,,"1,600 sqft",,
16457625,,,Industrial only,,,,Industrial (1),,,,,,,"1,800 sqft",,
16463277,,,Commercial and office space,,,,Commercial (1),,,,,,,300 sqft,Tobacco shop,
16463641,,,Commercial and industrial,,,,Industrial (1),,,,,,,"6,285 sqft",,
16464808,,,Commercial and office space,,1989,,Commercial (1),,,,,960 sqft,,960 sqft,,
16472420,"10,008 sqft",,Offices only,,,,Warehouse (1),,,,,"2,516 sqft",,"2,500 sqft",Other,
16479310,,,Commercial only,,,,Commercial (1),,,,,,,"4,000 sqft",,
16495608,,,Commercial and residential,,1950,,Commercial (1),,,,,,,"1,242 sqft",Variety store,
16501758,,,Commercial and industrial,,,,Commercial (1),,,,,,,"1,553 sqft",,
16506823,,,Offices only,,,,Office (1),,,,,,,"1,244 sqft",,
16520353,,,Commercial only,,2006,,Commercial (1),,,,,,,100 sqft,,
16526602,,,Industrial only,,1976,,Commercial (1),,,,,,,"5,486 sqft",,
16534935,,,Commercial and industrial,,2001,,Commercial (1),,,,,"2,787 sqft",,"2,787 sqft",,
16543471,"38,591 sqft",,Commercial and office space,,1972,,Office (1),,,,,,,"11,300 sqft",Variety store,
16546422,,,Commercial only,,,,Office (1),,,,,,,403 sqft,Office,
16554464,,,Commercial only,,1941,,Commercial (1),,,,,"1,300 sqft",,"1,300 sqft",Other,
16564257,,,Commercial and office space,,,,Office (1),,,,,,,"1,586 sqft",,
16565656,,,Industrial and offices,,,,"Industrial (1), Warehouse (1)",,,,,"23,600 sqft",,"From 1,500 sqft to 25,100 sqft",,
16569107,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,300 sqft",,
16570576,,,Offices only,,Unknown age,,Office (1),,,,,,,139 sqft,,
16585630,,,Offices only,,2016,,Office (1),,,,,,,500 sqft,Other,
16599920,,,Commercial and industrial,,,,Office (1),,,,,,,"6,500 sqft",,
16612462,,,Commercial and office space,,,,Office (1),,,,,,,60 sqft,,
16624640,,,Commercial and office space,,,,Commercial (1),,,,,,,1 sqft,,
16624691,,,Commercial and office space,,1950,,Commercial (1),,,,,,,"2,000 sqft",,
16628440,,,Commercial and office space,,,,Office (1),,,,,"3,200 sqft",,"3,200 sqft",,
16629020,,,Offices only,,,,Office (1),,,,,,,88 sqft,Other,
16648557,,,Offices only,,,,Office (1),,,,,135 sqft,,135 sqft,,
16695896,"8,412 sqft",,Commercial and office space,,1901,,Commercial (1),,,,,"3,064 sqft",,"1,000 sqft",,
16699924,,,Commercial only,,2002,,Commercial (1),,,,,,,"1,610 sqft",,
16700353,"10,701 sqft",,Commercial only,,Unknown age,,Commercial (1),,,,,"1,059 sqft",,"1,640 sqft",,
16717476,,,Commercial and industrial,,2016,,Commercial (1),,,,,"1,500 sqft",,"1,500 sqft",Other,
16718229,,,Commercial only,,1885,,Commercial (1),,,,,,,"1,200 sqft",Coffee/Restaurant,
16729313,"257,827 sqft",,,,2006,,Warehouse (1),,,,,,,300 sqft,,
16730316,,,Commercial and office space,,1990,,Commercial (1),,,,,"7,530 sqft",,"7,530 sqft",,
16740537,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,800 sqft,Health centre,
16741730,Residential,,,,,,,,,,,,,,,
16744410,,,Commercial only,,1990,,Commercial (1),,,,,,,"1,660 sqft","Travel agency, Jewellery store, Butcher shop, Bakery, Laundromat, Deli/Cheese shop, Shoe repair shop, Candy/Chocolate shop, Ice cream shop, Florist, Dry-cleaning, Pastry shop",
16768718,,,Offices only,,,,Office (3),,,,,,,From 80 sqft to 330 sqft,Business center,
16792835,,,Commercial and office space,,,,Commercial (1),,,,,"1,716 sqft",,"1,716 sqft",Restaurant,
16798215,"43,475 sqft",,Commercial and office space,,"2013, New",,Office (1),,,,,"6,835 sqft",,"6,835 sqft",,
16802331,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,,,"2,028 sqft",,
16818143,"19,000 sqft",,Commercial and office space,,2002,,Office (1),,,,,,,"2,000 sqft",Office space FOR RENT,
16854911,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,,,"1,646 sqft",,
16861474,,,Commercial only,,2006,,Commercial (1),,,,,,,100 sqft,,
16888995,,,Commercial and office space,,"Unknown age, Historic",,Office (4),,,,,,,"From 214 sqft to 9,158 sqft",,
16893590,,,Offices only,,", Century",,Office (1),,,,,,,"3,064 sqft",,
16905900,,,Commercial and office space,,1955,,Commercial (1),,,,,"8,740 sqft",,"2,200 sqft",,
16915870,,,Commercial only,,1970,,Commercial (1),,,,,,,800 sqft,,
16920446,"14,324 sqft",,Commercial and office space,,1960,,"Residential (1), Commercial (1)",,,,,,,"4,800 sqft",Other,
16929103,,,Commercial only,,1951,,Commercial (1),,,,,"1,368 sqft",,"1,368 sqft",,
16943466,,,Commercial and office space,,Unknown age,,Office (1),,,,,,,"1,000 sqft",,
16946189,,,Commercial and office space,,,,Office (1),,,,,"1,200 sqft",,"1,200 sqft",,
16954703,,,Offices only,,1950,,Office (1),,,,,,,"1,288 sqft",office,
16960996,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,435 sqft",,
16962741,,,Offices only,,,,Office (1),,,,,,,100 sqft,,
16964968,,,Commercial and office space,,1991,,Commercial (1),,,,,,,"1,400 sqft",,
16971953,,,Commercial only,,,,Office (1),,,,,,,"1,250 sqft",Other,
16974803,,,Commercial and residential,,Unknown age,,Commercial (1),,,,,"1,200 sqft",,"1,200 sqft",,
16981004,,,Commercial and office space,,,,Office (1),,,,,,,"1,000 sqft",,
16988556,,,Offices only,,2017,,Commercial (1),,,,,,,90 sqft,,
16988710,,,Commercial only,,,,Commercial (1),,,,,,,"14,850 sqft",,
16991748,,,Commercial only,,,,Office (1),,,,,,,700 sqft,,
16996267,,,Commercial only,,,,Commercial (1),,,,,480 sqft,,480 sqft,,
17006549,,,Commercial and residential,,1905,,Commercial (1),,,,,,,"2,000 sqft","Restaurant, Butcher shop, Grocery store, Boutique, Jewellery store",
17012677,,,Commercial and office space,,1913,,Commercial (1),,,,,,,"4,271 sqft",,
17033825,,,Commercial and office space,,1875,,Office (1),,,,,"1,023 sqft",,"2,044 sqft",,
17039670,,,Commercial and office space,,,,Office (1),,,,,,,"1,357 sqft",,
17043949,"3,760 sqft",,Offices only,,1960,,Office (1),,,,,"3,520 sqft",,"3,520 sqft",,
17047050,"139,080 sqft",,Commercial and residential,,1989,,Warehouse (1),,,,,240 sqft,,240 sqft,Other,
17059056,,,Commercial only,,1985,,Commercial (1),,,,,"1,200 sqft",,"1,200 sqft","Dating agency, Travel agency, Furniture store, Pet shop, Antique, Electronics, Household appliances, Sporting goods, Arts and Crafts, Jewellery store, Bakery, Boutique, Coffee/Donuts, Snack bar, Fitness centre, Health centre, Deli/Cheese shop, Accounting, Candy/Chocolate shop, Ice cream shop, Shoe repair shop, Decoration, Driving school, Computing equipment, Florist, Fruits and vegetables, Newsstand, Massotherapy, Stationery store, Pastry shop, Painting/Wallpaper, Plumbing, Fast food, Restaurant, Beauty salon, Hairdresser, Pet grooming, Locksmith, Photo studio",
17059209,,,Commercial only,,,,Commercial (1),,,,,,,"4,092 sqft",,
17061915,"12,551 sqft",,Commercial and office space,,2006,,"Commercial (1), Office (1)",,,,,"6,713 sqft",,"From 692 sqft to 4,044 sqft",,
17069130,,,Commercial only,,,,Commercial (1),,,,,,,"4,500 sqft",,
17069850,"217,800 sqft",,Industrial and offices,,1990,,Industrial (1),,,,,,,"1,800 sqft",,
17096391,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,"1,738 sqft",,480 sqft,,
17099620,,,Commercial and office space,,Unknown age,,Office (1),,,,,,,800 sqft,,
17102312,,,Commercial and office space,,1985,,Office (1),,,,,,,"2,500 sqft",,
17108689,,,Offices only,,,,Office (1),,,,,,,"1,035 sqft",,
17116308,,,Industrial only,,,,Industrial (1),,,,,"3,850 sqft",,"3,850 sqft",,
17130610,,,Commercial and office space,,,,Commercial (1),,,,,,,"3,500 sqft",,
17142487,,,Commercial and office space,,2004,,Commercial (4),,,,,,,"From 3,000 sqft to 24,946 sqft",,
17143030,,,Commercial and residential,,,,Commercial (1),,,,,,,720 sqft,,
17151107,"32,200 sqft",,Commercial and industrial,,Unknown age,,Warehouse (1),,,,,"9,000 sqft",,"3,200 sqft",,
17155129,"2,386 sqft",,Commercial only,,1936,,Commercial (1),,,,,,,"1,635 sqft",,
17155741,,,Commercial and office space,,,,Office (1),,,,,,,"1,400 sqft",,
17158991,,,Commercial only,,"2017, New",,Office (1),,,,,,,"1,620 sqft",,
17159467,,,Commercial and residential,,,,Commercial (1),,,,,,,925 sqft,,
17160788,,,Commercial and office space,,,,Office (1),,,,,,,"2,000 sqft",Other,
17161876,,,Commercial and office space,,,,Commercial (1),,,,,"1,400 sqft",,"1,400 sqft","Boutique, Travel agency, Gift shop, Shopping centre, Health centre, Accounting, Shoe repair shop, Convenience store, Massotherapy, Hairdresser, Beauty salon, Hairdresser - Men's, Pet grooming, Variety store",
17183736,,,Commercial only,,,,Commercial (1),,,,,,,"2,298 sqft",,
17200410,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,419 sqft",,
17209468,,,Offices only,,Unknown age,,Office (1),,,,,"1,380 sqft",,"1,380 sqft",,
17217038,"19,427 sqft",,Offices only,,2017,,Office (1),,,,,"3,380 sqft",,5 sqft,,
17223656,,,Commercial only,,1965,,Commercial (1),,,,,,,"1,100 sqft",,
17230755,,,Commercial and office space,,,,Commercial (1),,,,,,,329 sqft,,
17238780,,,Offices only,,,,Office (2),,,,,,,"From 680 sqft to 1,727 sqft",,
17239785,,,Offices only,,,,Office (2),,,,,,,"From 875 sqft to 1,875 sqft",Shopping centre,
17250203,,,Commercial and office space,,,,Commercial (1),,,,,,,"8,139 sqft",,
17260880,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,"7,100 sqft",,"7,100 sqft",,
17275486,,,,,,,,,,,,,,,Fast food,
17293139,,,Industrial and offices,,Unknown age,,Warehouse (1),,,,,"14,813 sqft",,"14,815 sqft",,
17296838,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,200 sqft",,
17299682,,,Commercial only,,,,Commercial (1),,,,,"9,000 sqft",,"9,000 sqft",Restaurant,
17305633,,,Commercial and office space,,,,Commercial (1),,,,,,,"3,630 sqft",,
17306871,"2,150 sqft",,Commercial and residential,,,,Commercial (1),,,,,,,623 sqft,Daycare centre,
17309053,,,Industrial only,,,,Industrial (1),,,,,,,"3,200 sqft",,
17312422,,,Commercial only,,1926,,Commercial (1),,,,,,,"1,421 sqft",,
17315323,"27,449 sqft",,Industrial only,,2011,,Industrial (1),,,,,"6,000 sqft",,"6,000 sqft",Road transport,
17317784,,,Offices only,,,,Office (1),,,,,,,"1,400 sqft",,
17321853,,,Commercial only,,1984,,Commercial (3),,,,,,,"From 800 sqft to 4,105 sqft",Bar,
17354233,,,Offices only,,,,Office (5),,,,,,,"From 81 sqft to 23,926 sqft",,
17356703,,,Commercial only,,,,Commercial (1),,,,,,,"9,000 sqft",,
17365444,,,Offices only,,,,Office (2),,,,,,,"From 740 sqft to 1,624 sqft",,
17365605,"43,708 sqft",,Commercial only,,,,Commercial (1),,,,,,,450 sqft,,
17366477,"35,858 sqft",,Commercial only,,1977,,Commercial (1),,,,,,,"3,000 sqft",,
17381131,,,Commercial and office space,,1984,,Commercial (1),,,,,,,"1,231 sqft",Boutique,
17386705,"14,886 sqft",,Commercial only,,1987,,Commercial (1),,,,,"3,800 sqft",,"3,800 sqft",Boutique,
17390123,,,Commercial and office space,,Unknown age,,Commercial (1),,,,,,,"2,000 sqft",,
17407491,,,Commercial and office space,,1964,,Office (1),,,,,,,800 sqft,,
17407997,"115,292 sqft",,Commercial only,,2013,,Commercial (1),,,,,"39,160 sqft",,"3,136 sqft",,
17412474,,,Commercial only,,1910,,Commercial (1),,,,,,,"4,000 sqft",,
17440472,,,Commercial only,,"To be built, New",,Commercial (1),,,,,,,"2,500 sqft",,
17441550,,,Commercial and office space,,1982,,Office (3),,,,,,,From 265 sqft to 925 sqft,,
17443237,,,Commercial and residential,,"To be built, New",,Office (1),,,,,,,"4,000 sqft",,
17444514,"27,997 sqft",,Commercial and office space,,2010,,Commercial (1),,,,,,,"1,416 sqft",Medical / Professional,
17445977,,,Offices only,,1928,,Office (1),,,,,,,"2,465 sqft",,
17450595,"49,487 sqft",,Commercial only,,2008,,Commercial (1),,,,,"6,400 sqft",,"6,400 sqft",Other,
17450774,"$69,840",,,,,,,,,,,,,,,
17452076,,,Commercial only,,,,Commercial (1),,,,,,,500 sqft,,
17469128,"196,818 sqft",,Commercial and industrial,,2008,,Commercial (1),,,,,,,"4,050 sqft",Health centre,
17472820,,,Offices only,,2017,,Office (1),,,,,,,152 sqft,,
17473264,,,Commercial and office space,,1953,,Commercial (1),,,,,,,460 sqft,Other,
17475905,,,Commercial and office space,,1956,,Commercial (1),,,,,,,600 sqft,,
17480307,"44,616 sqft",,Offices only,,"To be built, New",,Office (3),,,,,"27,632 sqft",,"From 4,500 sqft to 22,500 sqft",,
17484538,,,Commercial and industrial,,"2014, New",,"Commercial (2), Industrial (2)",,,,,,,"From 3,052 sqft to 13,474 sqft",,
17490478,,,Commercial and office space,,2015,,Office (1),,,,,,,150 sqft,,
17492001,"83,288 sqft",,Commercial and office space,,1960,,Commercial (1),,,,,"18,152 sqft",,"6,058 sqft",,
17493449,,,Offices only,,,,Industrial (1),,,,,,,140 sqft,,
17516010,,,Offices only,,,,Office (1),,,,,341 sqft,,341 sqft,,
17521021,"30,150 sqft",,Commercial and office space,,1978,,Office (1),,,,,"12,174 sqft",,"1,940 sqft",,
