0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool,Type of operation,Residential unit,Intergenerational
10086414,"4,577 sqft", ,Residential only,Detached,1950,Wood stove,Residential (3),"2 x 4 ½,  1 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$14,880",Basement 6 feet or +,"1,190 sqft",Driveway (3), , , , , , 
10087348,"5,000 sqft", ,Residential only,Detached,1954, ,Residential (2),"1 x 4 ½, 1 x 10 ½","10 Rooms, 2 Bedrooms, 2 Bath/powder rooms","$13,800",Basement 6 feet or +, ,Driveway (3), , , , , , 
10087484,"1,812 sqft", ,Residential only,Detached,1926, ,Residential (2),2 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$11,460",Basement 6 feet or +, , , , , , , , 
10088169,"8,500 sqft", ,Residential only,Detached,1970,Wood stove,Residential (2),"1 x 4 ½,  1 x 5 ½","4 Rooms, 2 Bedrooms, 1 Bath/powder room","$7,200",Basement 6 feet or +, ,Driveway (4), , , , , , 
10088360,"9,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10089668,"54,568 sqft",Residential, , , , , , , , , , , , , , , , , 
10090118,"1,764,180 sqft",Residential, , , , , , , , , , , , , , , , , 
10090226,"93,181 sqft",Residential, , , , , , , , , , , , , , , , , 
10090373,"21,162 sqft", ,Residential only,Detached,1992, ,Residential (2),"1 x 3 ½,  1 x 7 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$6,600","Access to waterfront, Basement 6 feet or +", ,"Driveway (8), Garage (2)", , , , , , 
10090384,"23,175 sqft",Residential, , , , , , , , , , , , , , , , , 
10094791,"453,024 sqft",Resort, , , , , , , , , , , , , , , , , 
10094962,"38,304 sqft",Resort, , , , , , , , , , , , , , , , , 
10096153,"43,443 sqft",Residential, , , , , , , , , , , , , , , , , 
